ID\Language,ChineseTraditional,ChineseSimplified,English,Japanese,French,Explanation
45,開始鍵,开始键,Start,スタート,,
46,預設設定,预设设定,Default Setting,デフォルト設定,Réglages par défaut,
47,是否確定離開本次對戰?,是否确定离开本次对战?,Are you sure to leave this battle?,この戦いを放棄しますか？,Es-tu sûr de vouloir quitter le combat ?,
48,是,是,YES,はい,OUI,
49,否,否,NO,いいえ,NON,
50,重新開始遊戲,重新开始游戏,Reset Game,ゲームをやり直す,Recommencer,
51,訓練模式設置,训练模式设置,Training Setting,トレーニングモードの設定,Options d'entraînement,
52,起始位置,起始位置,Initial Position,スタート地点,Position Initiale,
53,左方,左方,Left,左,Gauche,
54,中間,中间,Middle,真ん中,Centre,
55,右方,右方,Right,右,Droite,
56,1P血量,1P血量,1P HP,1P ライフ,P1 PV,
57,無限,无限,Unlimited,無制限,Illimité,
58,自動,自动,Auto,自動,Auto,
59,一般,一般,Normal,普通,Normal,
60,2P血量,2P血量,2P HP,2P ライフ,P2 PV,
61,1P氣條,1P气条,1P Gauge,１Pゲージ,P1 Jauge,
62,2P氣條,2P气条,2P Gauge,２Pゲージ,P2 Jauge,
63,1P神力,1P神力,1P D.P.S,1P 神の力,P1 D.P.S,
64,2P神力,2P神力,2P D.P.S,2P 神の力,P2 D.P.S,
65,顯示輸入,显示输入,Show Input,入力の表示,Afficher les touches,
66,顯示戰鬥資料,显示战斗资料,Show Data,データの表示,Afficher les informations,
67,是,是,Yes,はい,Oui,
68,否,否,No,いいえ,Non,
69,對手狀態,对手状态,Opponent Status,対戦相手の状態,Statut de l'adversaire,
70,無,无,None,なし,Aucun,
71,蹲姿,蹲姿,Crouch,しゃがむ,Accroupi,
72,跳躍,跳跃,Jump,ジャンプ,Saut,
73,防禦狀態,防御状态,Defend Action,防御の状態,Action de défense,
74,不防禦,不防御,Not Defend,防御なし,Aucune défense,
75,全部防禦,全部防御,All Defend,すべての防御,Toutes les défenses,
76,第二段防禦,第二段防御,Defend Second,二度目の防御,Défenses secondaires,
77,對手設置,对手设置,Opponent Setting,対戦相手の設定,Réglage de l'adversaire,
78,無,无,None,なし,Aucun,
79,電腦,电脑,CPU,CPU,IA,
80,玩家,玩家,Player,プレーヤー,Joueur,
81,選項,选项,Option,オプション,Options,
82,遊戲設置,游戏设置,Game Setting,ゲームの設定,Options de jeu,
83,返回,返回,Back,戻る,Retour,
84,全螢幕,全萤幕,Full Screen,全画面表示,Plein écran,
85,解析度,解析度,Resolution,解像度,Résolution,
86,畫面品質,画面品质,Graphic Quality,画質,Qualité graphique,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
99,,,,,,
100,,,,,,
101,音樂音量,音乐音量,BGM Volume,BGM音量,Volume Musique,
102,音效音量,音效音量,SFX Volume,SFX音量,Volume SFX,
103,語言設定,语言设定,Language,言語設定,Langue,
104,預設設定,预设设定,Default Setting,デフォルト設定,Réglages par défaut,
105,重新對戰,重新对战,Rematch,リマッチ,Revanche,
106,重新挑戰,重新挑战,Retry,リトライ,Réessayer,
107,已解鎖,已解锁,UNLOCKED,ロック解除された,Déverouillé,
108,取消,取消,Cancel,キャンセル,Annuler,
109,效能優先,效能优先,Fastest,効能優先,Rapide,
110,低,低,Low,低い,Faible,
111,普通,普通,Normal,普通,Normal,
112,高,高,High,高い,Élevé,
113,極高,极高,Very High,非常に高い,Très Élevé,
114,最佳,最佳,Best,最適,Excellent,
115,,,,,,
116,,,,,,
117,,,,,,
118,,,,,,
119,是否確定套用新的控制設定?,是否确定套用新的控制设定?,Apply the new control setting?,新しい操作設定を適用しますか？,Appliquer les nouveaux réglages de contrôle ?,
120,是否前往商店頁面購買?\n(購買後，必須重新啟動遊戲),是否前往商店页面购买?\n(购买后，必须重新启动游戏),Would you like to access to the store ?\n(The Game needs to restart after purchasing.),ショップ画面に移動し、購入しますか？\n購入後、ゲームの再起動する必要があります）,Voulez-vous accèder à la boutique ?\n(Le jeu devra redémarrer après l'achat),
121,,,,,,
122,,,,,,
123,未解鎖,未解锁,Lock,ロック,Vérrouillé,
124,解鎖條件,解锁条件,Unlock Requirement,アンロック条件,Objectif de Déverouillage,
125,模式:,模式:,Mode:,モード:,Mode:,
126,難度:,难度:,Difficulty:,難易度:,Difficulté:,
127,額外條件:,额外条件:,Additional:,追加条件:,Supplément:,
128,Arcade通關 {0} 次,Arcade通关 {0} 次,Arcade Clear {0} Times,アーケードクリア {0} 回,Arcade terminé {0} Fois,
129,無,无,None,ない,Aucun,
130,困難以上,困难以上,Hard or Above,難しい以上,Difficile ou Supérieur,
131,非常困難,非常困难,Very Hard,非常に難しい,Très difficile,
132,無,无,None,ない,Aucun,
133,不接關,不接关,No Continue,リトライしないでクリア,Abandon,
134,偵測控制器,侦测控制器,Controller Detect,コントローラー,Détection des manettes,
135,移動,移动,Move,選択,Déplacer,
136,略過,略过,Skip,スキップ,Passer,
137,玩家1,玩家1,Player1,プレーヤー1,Joueur 1,
138,玩家2,玩家2,Player2,プレーヤー2,Joueur 2,
139,動物們超可愛的，我們愛它們。\n不管用任何手段讓真實世界的動物互相廝殺都是可恥的行為、\n我們反對任何傷害或虐待地球上任何生物的行為。\n本遊戲的目的僅為提供娛樂效果，遊戲中沒有任何動物受傷或死亡。,动物们超可爱的，我们爱它们。 \n不管用任何手段让真实世界的动物互相厮杀都是可耻的行为、\n我们反对任何伤害或虐待地球上任何生物的行为。 \n本游戏的目的仅为提供娱乐效果，游戏中没有任何动物受伤或死亡。,"Animals are adorable, we love them. \nIt is shameful to let animals fighting each other in the REAL WORLD in anyway. \nWe do not encourage any actions that harms or abuses any creatures on the planet. \nThis game was simply for entertaining purposes, \nthere are no animals injured or killed in the game.",動物はかわゆすぎ！愛してます！\nどんな手段でもリアル世界で動物に殺し合わせるのは不正な行為です。\nあらゆる手段でこの惑星に住まうすべての生き物に傷つき、虐待は断じて許しません。\nこのゲームのコンテンツは一切エンターテインメントに過ぎません。\nこのゲームではいかなる動物も実際に傷ついたり死ぬことはありません,"Les animaux sont adorables, nous les aimons. \nIl est honteux de laisser les animaux se battre entre eux dans le VRAI MONDE. \nNous n'encourageons aucune action qui blesse ou abuse des créatures de notre planète. \nCe jeu est simplement fait à des fins de divertissements, \nil n'y a pas d'animaux blessés ou tués dans le jeu.",
140,,,,,,
141,,,,,,
142,,,,,,
143,,,,,,
144,,,,,,
145,線上對戰,线上对战,Online,オンライン対戦,En ligne,
146,快速配對,快速配对,Quick Match,クイック対戦,Combat Rapide,
147,大廳,大厅,Lobby,オンラインロビー,Hall,
148,等級,等级,Level,レベル,Niveau,
149,不限,不限,Any,すべて,Tous,
150,新手,新手,Rookie,ルーキー,Débutant,
151,戰士,战士,Fighter,ファイター,Combattant,
152,大師,大师,Master,マスター,Maître,
153,神,神,God,神,Dieu,
154,連線品質,连线品质,Connection Quality,通信速度,Qualité de connection,
155,開始配對,开始配对,Start Match,対戦検索,Démarrer le match,
156,沒有符合的房間，是否自行開創?,没有符合的房间，是否自行开创?,No specific room. Create your own room?,適切な対戦ルーム見つかりませんでした。ルームを作成しますか？,Pas de salle spécifique. Créer votre propre salle?,
157,開創房間,开创房间,Create Room,ルーム作成,Créer une salle,
158,搜尋房間,搜寻房间,Search Room,ルーム検索,Chercher une salle,
159,過濾器,过滤器,Filter,検索条件の指定,Filtre,
160,更新頁面,更新页面,Refresh,再検索,Raffraichir,
161,頁面 {0}/{1},页面 {0}/{1},Page {0}/{1},ページ {0}/{1},Page {0}/{1},
162,空房,空房,Empty,空室,Vide,
163,房名,房名,Room Name,ルーム名,Nom de la salle,
164,收到邀請，即將進入{0}開創的房間,收到邀请，即将进入{0}开创的房间,"Receive invitation, enter the room created by {0}.",招待メール受けました、{0}のルーム入ります、,"Invitation reçue, enter dans la salle créée par {0}.",
165,房間密碼,房间密码,Password,キーワード,Mot de passe,
166,開創,开创,Create Room,ルーム作成,Créer une salle,
167,輸入密碼,输入密码,Enter Password,キーワードの入力,Entrer le mode de passe,
168,搜尋,搜寻,Search,検索,Rechercher,
169,輸入Steam ID,输入Steam ID,Enter Steam ID,スチームIDの入力,Entrer Steam ID,
170,房間狀態,房间状态,Room Type,ルームタイプ,Type de salle,
171,公開,公开,Public,公開,Publique,
172,私人,私人,Private,私室,Privée,
173,等待中,等待中,Waiting,通信中,En attente,
174,就緒,就绪,Ready,準備完了,Prêt,
175,等待玩家中...,等待玩家中...,Waiting for Player...,対戦相手と通信中,En attente de joueur...,
176,邀請好友,邀请好友,Invite Friend,フレンドを招待,Inviter un ami,
177,排至隊末,排至队末,Move to End,最後尾へ,Aller à la fin,
178,離開房間,离开房间,Leave Room,ルームを出る,Quitter la salle,
179,密碼錯誤,密码错误,Password is incorrect.,入力失敗,Mot de passe incorrect.,
180,開創房間失敗,开创房间失败,Create room failed.,作成失敗,Échec de création de salle.,
181,玩家1已離線,玩家1已离线,Player1 disconnected.,プレイヤー1から接続が切れました,Joueur 1 déconnecté.,
182,玩家2已離線,玩家2已离线,Player2 disconnected.,プレイヤー2から接続が切れました,Joueur 2 déconnecté.,
183,網路斷線,网路断线,Network disconnected.,接続が切れました,Réseau déconnecté.,
184,你已被踢出房間,你已被踢出房间,You have been kicked out of the room.,除名されました,Tu as été expulsé de la salle.,
185,玩家已離開對戰,玩家已离开对战,Player has left the match.,プレイヤーは対戦から離脱しました,Un joueur a quitté le match.,
186,沒有網路連線,没有网路连线,Network is unavailable.,インターネット接続してません,Réseau non disponible.,
187,尚未登入Steam,尚未登入Steam,Need to login on Steam.,スチームはログインしてません,Il est nécessaire d'être connecté sur Steam.,
188,需要更新到最新版本,需要更新到最新版本,Need to update to the latest version.,最新のアップデートパッチまで更新してください,Mise à jour requise.,
189,房間已滿,房间已满,The room is full.,ルーム満員,La salle est pleine.,
190,加入房間失敗,加入房间失败,Join room failed.,ルーム入室失敗,Échec de tentative pour rejoindre la salle.,
191,Steam帳號認證失敗,Steam帐号认证失败,Steam account authenticate failed.,スチームID認証失敗,Échec d'authentification au compte Steam.,
192,Challenge通關 1 次,Challenge通关 1 次,Challenge Clear 1 Times,チャレンジクリア 1 回,Défi réussi 1 fois,
193,選擇伺服器,选择服务器,Select Server,サーバーを選択,Séléctionner un serveur.,
194,伺服器,服务器,Server,サーバー,Serveur,
195,亞洲 (SG),亚洲 (SG),Asia (SG),アジア (SG),Asia (SG),
196,亞洲 (JP),亚洲 (JP),Asia (JP),アジア (JP),Asia (JP),
197,美西,美西,US West,アメリカ西,US West,
198,美東,美东,US East,アメリカ東,US East,
199,歐洲,欧洲,Europe,ヨーロッパ,Europe,
200,垂直同步,垂直同步,V-Sync,垂直同期,V-Sync,
201,控制器切換,控制器切换,Controller Switch,コントローラ切り替え,Changement de manette.,
202,保留房間,保留房间,Keep Room,ルームを保つ,Garder la salle,
203,等待玩家中,等待玩家中,Waiting for Player,対戦相手と通信中,En attente de joueur,
204,已有挑戰者,已有挑战者,Match Found,挑戦者あり,Match trouvé,
205,請按START,请按START,Press START,STARTを押す,Appuyer sur START,
206,取消對戰,取消对战,Match Cancel,試合キャンセル,Annulationd du Match,
207,房間逾時,房间逾时,Room Timeout,ルームタイムアウト,Temps écoulé pour la salle,
208,已斷線,已断线,Disconnected,切断されました,Déconnecté,
209,房間有挑戰者了，開始對戰?,房间有挑战者了，开始对战?,"Here comes the challenger, fight now?",ルームに挑戦者がいます、遊び始めますか？,"Voici votre adversaire, combattre maintenant ?",
210,規則,规则,Rule,ルール,Règle,
211,等待選擇角色與場地…,等待选择角色与场地…,Waiting for selecting character and stage...,相手がキャラやステージを選択中...,En attente de séléction de personnage et d'arène...,
212,先取{0}勝,先取{0}胜,First to {0},先取り{0}勝,Premier à {0},
213,對戰結束\n即將回到對戰房間,对战结束\n即将回到对战房间,Versus End\nBack to Game Room,対戦終了\n対戦ルームへ戻ります,Fin du match\nRetour à la salle de jeu,
214,等待對戰玩家選擇…,等待对战玩家选择…,Waiting for players selecting...,対戦相手が選択中...,En attente de la sélection des joueurs...,
215,回到對戰房間,回到对战房间,Back to Game Room,対戦ルームへ戻ります,Retour à la salle de jeu,
216,,,,,,
217,,,,,,
218,,,,,,
219,,,,,,
220,遊戲教學,游戏教学,Tutorials,チュートリアル,Tutoriels,
221,1P方向控制,1P方向控制,1P Directions,1P方向キー,P1 Déplacements,
222,2P方向控制,2P方向控制,2P Directions,2P方向キー,P2 Déplacements,
223,輕攻擊,轻攻击,Light Attack,弱攻撃,Attaque Légère,
224,重攻擊,重攻击,Heavy Attack,強攻撃,Attaque Lourde,
225,中段 / 技能,中段 / 技能,Overhead / Skill,中段 / スキル,Par Dessus / Compétence,
226,彈飛 / 超級技能,弹飞 / 超级技能,Burst / Super Skill,バースト / スーパースキル,Contrer / Compétence spéciale,
227,方向控制,方向控制,Directions,移動操作,Déplacements,
228,防禦,防御,Defense,防御,Défense,
229,不做任何動作時，按住後退可以防禦\n\n跳躍至空中的時候不能防禦\n\n分為站防與蹲防，站防無法防禦下段攻擊，\n蹲防無法防禦跳攻擊,不做任何动作时，按住后退可以防御\n\n跳跃至空中的时候不能防御\n\n分为站防与蹲防，站防无法防御下段攻击，\n蹲防无法防御跳攻击,"Holding back can block attack.\n\nCan't block in the air.\n\nStand block can't block low attack, crouch block can't block jump attack.",後退はガード。\n\n空中はガード不能。\n立ち状態で下段ガード不能。\n\nしゃがみ状態はジャンプからの攻撃ガード不能。,"Maintenir en arrière pour parer une attaque. \nNe peut pas parer dans les airs. \nLa garde debout ne peut pas parer les attaques basses, \naccroupies \nLa garde ne peut pas parer les attaques \nsautées et venant du dessus.",
230,快速起身,快速起身,Fast Recovery,受け身,Récupération Rapide,
231,倒地時按下攻擊可以快速起身\n\n可以搭配方向鍵在快速起身時做位置的移動\n\n原地快速起身的速度比較快,倒地时按下攻击可以快速起身\n\n可以搭配方向键在快速起身时做位置的移动\n\n原地快速起身的速度比较快,Fast recovery can be performed when fall by pressing ATTACK button.\n\nCan move position by pressing direction when fast recovery.\n\nFast recovery without any direction will be the fastest.,ダウン状態で攻撃ボタン押すと受け身可能。\n\n受け身の方向は方向キーの入力で決める。\n\n直接受け身は移動受け身より早い。,Une récupération rapide peut être effectuée lors d'une \nchute en appuyant sur le bouton Léger / Lourd / Compétence. \nPeut se déplacer en appuyant sur une direction \nlors d'une récupération rapide. \nUne récupération rapide sans aucune direction\nsera plus rapide.,
232,前衝刺 / 後衝刺,前冲刺 / 后冲刺,Dash Forward / Backward,ステップダッシュ / バックステップ,Dash Avant / Arrière,
233,按下方向控制兩旁的按鈕，可以使用前後衝刺\n\n可以快速的拉近或拉遠距離，並可以用於連段中,按下方向控制两旁的按钮，可以使用前后冲刺\n\n可以快速的拉近或拉远距离，并可以用于连段中,"Perform dash forward / backward by \npressing the button aside by direction control.\n\nDash can shorten the distance quickly, also can use in combo. ",レバーの両側のボタンを押すと、\n\nステップダッシュやバックステップ可能。\n\n一瞬で相手との距離を縮むや離れる。\nコンボ最中にも使用可能。,"Dash Avant / Arrière en appuyant deux fois \ndans la même direction. \nLe dash peut raccourcir la distance rapidement,\nil peut être également utilisé en combo.",
234,技能使用,技能使用,Skills,スキル,Compétences,
235,三個技能鍵可以使用不同技能\n\n部分角色的技能可以再次按下技能鍵使出派生,三个技能键可以使用不同技能\n\n部分角色的技能可以再次按下技能键使出派生,Player can use different skills by pressing three skill buttons.\n\nSome characters' skill has extra move when \npressing the same skill button again.,スキルボタンを押すと様々なスキル使用可能。\n\n一部のスキルを出した後もう一度スキルボタン\nを押せば派生技は出せる。,Le bouton de compétence sans direction viendra du dessus. \nLe joueur peut utiliser différentes compétences en appuyant \nsur la touche de compétence et une direction.\nLa compétence de certains personnages a un mouvement \nsupplémentaire lorsqu'il appuie une deuxième fois sur la \ntouche de compétence.,
236,前衝取消,前冲取消,Dash Cancel,ダッシュキャンセル,Dash d'annulation,
237,全角色的技能在確認擊中後，都可以做\n前衝取消目前的技能硬直\n\n可利用此技巧做出一些超乎想像的連段,全角色的技能在确认击中后，都可以做\n前冲取消目前的技能硬直\n\n可利用此技巧做出一些超乎想像的连段,"When hit confirmed with skills, it can cancel \nthe skill recovery time with dash forward.\n\nDash cancel can perform incredible combo.",全キャラ命中確認後、ステップダッシュで\n硬直をキャンセル可能\n\nこのコツを活用すれば色々なコンボを繋がるかも？,"Quand vous lancer une compétences, cela peut annuler \nle temps de récupération de la compétence avec un dash \nen avant.\nLe dash d'annulation peu permettre des combos incroyables.",
238,協助模式,协助模式,Assistant Mode,アシストモード,Assistant mode,
239,可在選擇角色後選擇標準模式與協助模式\n\n在簡易模式中，玩家可以按輕重攻擊鍵自動連段\n\n技能鍵與超級鍵的使用與一般模式一樣,可在选择角色后选择标准模式与协助模式\n\n在简易模式中，玩家可以按轻重攻击键自动连段\n\n技能键与超级键的使用与一般模式一样,"FOA allows player select standard or assistant \nmode in character select page.\n\nIn assistant mode, character can auto combo \nby press Light or Heavy button repeatedly.\n\nBut still allows to use the Skill / Super \nbutton separately.",キャラ選択確定後スタンダードモードと\nアシストモードの中にどちらを使用するのか決めます。\n\nアシストモードで、プレーヤーは弱攻撃強攻撃を連打\nだけでコンボを出せる。\n\nスキルボタンとスーパーボタンの効果は\nスタンダードモードのまま。,"FOA permet au joueur de sélectionner le mode standard \nou assistant dans le menu de sélection de personnages.\nEn mode assistant, le personnage peut déclencher \nl'auto-combo en appuyant sur la touche Léger ou Lourd \nà plusieurs reprises. \nMais permet toujours d'utilser la touche \nCompétence / Super séparément.",
240,能量條的累積與使用,能量条的累积与使用,Gauge Gain / Usage,パワーゲージ の溜め方と使用方,Jauge Remplissage / Utilisation,
241,擊中敵人，被擊中，施放招式都會增加能量\n\n能量滿的時候可以按超級鍵使出絕招\n\n可以在受擊，防禦，擊飛時按超級鍵將敵人彈開，\n但會同樣會消耗整條氣,击中敌人，被击中，施放招式都会增加能量\n\n能量满的时候可以按超级键使出绝招\n\n可以在受击，防御，击飞时按超级键将敌人弹开， \n但会同样会消耗整条气,"Gauge will gain when hit, be hit, cast skill.\n\n Super skill can be performed when gauge is full.\n\nIt also allows cast burst when be hit, blocking, \njuggle with full gauge.",命中、撃たれ、スキルの使用はゲージ溜める。\n\nゲージ溜まったらスーパーボタンでスーパースキルは出せる。\n\n防御、命中され、飛ばされ途端、スーパーボタン\nを押したらバーストで敵を弾ける。どちらもゲージは消耗する。,"La jauge se remplit quand on frappe, reçoit des coups, \nutilise des compétences. \nLa compétence Super peut être utilisée quand la jauge \nest pleine. \nElle permet également de contrer lorsque l'attaque d'un \nadversaire vous touche quand celle-ci est pleine.",
242,標準遊玩方式\n自行判斷出招時機,标准游玩方式\n自行判断出招时机,Standard Mode\nManual Control,スタンダードモード\n自分のコンボを繋がる,Mode Standard\nContrôle Manuel,
243,輔助戰鬥模式\n輕鬆的施展連續技,辅助战斗模式\n轻松的施展连续技,Assistant Mode\nAuto Combo,アシストモード\n気軽にコンボを出す,Mode Assistant\nAuto Combo,
244,彈飛 / 超級技能,弹飞 / 超级技能,Burst / Super Skill,バースト\n/ スーパースキル,Contrer / Compétence spéciale,
245,南美,南美,South A,南米,South A,
246,畫面震動,画面震动,Screen Shake,画面の振動,Tremblement de l'écran,
247,讀取中,读取中,LOADING,読み込み中,CHARGEMENT,
248,已解鎖新的角色,已解锁新的角色,Unlocked new characters.,新キャラはアンロックされました,Nouveaux personnages déverouillés.,
249,預設造型,预设造型,Default,デフォルト,Défaut,
250,聖誕服裝,圣诞服装,Christmas,クリスマス,Noël,
251,大師狗,大师狗,The Master,マスタードッグ,Maître,
252,迷因舞者,迷因舞者,Meme Dancer,ミームダンサー,Danser de meme,
253,歡迎來到 動物之鬪 Solo Edition!\n本遊戲同時也有PC和Switch的版本，目前都已經推出!!\n歡迎大家前往臉書以及推特了解更多!,欢迎来到 动物之鬪 Solo Edition!\n本游戏同时也有PC和Switch的版本，目前都已经推出!!\n欢迎大家前往脸书以及推特了解更多!,"Welcome to Fight of Animals-Solo Edition!\nThis game also has PC and Switch version, both out now!\nFind out more info on our Facebook and twitter!",ファイトオフアニマル　ソロ版ようこそ！\nPC版とニンテンドースィッチ版も絶賛発売中！\n詳しい情報はツィーターやFBへ！,Bienvenu sur Fight of Animals\nSuivez-nous sur Facebook et Twitter pour rester informé.\nRejoignez notre serveur discord officiel pour trouver plus\nde personnes avec qui jouer !,
254,壽司師傅,寿司师傅,Sushi Chef,寿司職人,Chef Sushi,
255,幹員,干员,The Agent,エージェント,L'Agent,
256,復活節彩蛋,复活节彩蛋,Easter Egg,イスターエッグ,Oeuf de Pâques,
257,特種部隊,特种部队,Special Force,特殊部隊,Unités Spéciales,
258,邀請對戰,邀请对战,Invite Match,対戦招待,Invitation Match,
259,來場對戰吧,来场对战吧,Let's have a match.,対戦しよう,Créer une salle,
260,等待對手,等待对手,Waiting for Opponent ,対戦相手を待つ,Recherche d'un opposant,
261,瘦長人,瘦长人,Long Man,ローングマン,Long Man,
262,世紀末鬥士,世纪末斗士,Apocalyptical ,世紀末ファイター,Apocalyptique,
263,秘術師,命理护士,The Sorcerer,秘術師,Le Sorcier,
264,武士喵,武士喵,Samurai,侍にゃん,Samurai ,
265,模式介紹,模式介绍,Mode,モード,,
266,街機模式\n- 通關可以解鎖大部分的角色\n- 戳的格數會因為遊戲難度而不同\n\n挑戰模式\n- 用最快的時間擊敗海豹\n- 擋住海豹的攻擊可以獲得大量氣條\n\n訓練模式\n- 可在此模式熟悉操作與連段\n\n商店\n- 可在商店解鎖角色\n- Bad Dog與Tricky Fox為商店限定角色,街机模式\n- 通关可以解锁大部分的角色\n- 戳的格数会因为游戏难度而不同\n\n挑战模式\n- 用最快的时间击败海豹\n- 挡住海豹的攻击可以获得大量气条\n\n训练模式\n- 可在此模式熟悉操作与连段\n\n商店\n- 可在商店解锁角色\n- Bad Dog与Tricky Fox为商店限定角色,ARCADE\n- Unlock characters by clearing the  arcade mode\n- Poking chances are different in each difficulty.\n\nCHALLENGE\n- Beat the Seal as fast as you can.\n- Gain gauge by blocking attack from Seal.\n\nTRAINING\n- Practice the control and combo.\n\nSHOP\n- Unlock character directly.\n- Bad Dog and Tricky Fox are purchasing only.,アーケード\n- クリア後キャラクターアンロック可能\n- スクラッチの回数は難易度によって差があります\n\nチャレンジ\n- 最速でSealを倒す\n- Sealの攻撃をガード成功したらゲージ大量溜めます\n\nトレーニング\n- このモードで操作の練習はできます\n\nショップ\n- ショップでキャラクターアンロック可能\n- Bad DogとTricky Foxはショップ限定のキャラクターです,,
267,街機模式,街机模式,ARCADE,アーケード,,
268,挑戰模式,挑战模式,CHALLENGE,チャレンジ,,
269,訓練模式,训练模式,TRAINING,トレーニング,,
270,商店,商店,SHOP,ショップ,,
271,通關角色戳戳格數,通关角色戳戳格数,Poking Chance,スクラッチ回数,,
272,簡單 : 2,简单 : 2,Easy : 2,易しい : 2,,
273,普通 : 3,普通 : 3,Normal : 3,普通 : 3,,
274,困難 : 4,困难 : 4,Hard : 4,難しい : 4,,
275,最佳時間 :,最佳时间 :,Best Time :,ベストタイム :,,
276,攻擊,攻击,Attack,攻撃,,
277,技能,技能,Skills,スキル,,
278,衝刺,冲刺,Dash,ダッシュ,,
279,回復購買,回复购买,RESTORE,リストア,,
280,製作人員,制作人员,CREDITS,スタッフ,,
281,購買,购买,BUY,買う,,
282,是否確定購買此角色?\n(若為當前解鎖角色，解鎖格數將會重置並換成下一隻),是否确定购买此角色?\n(若为当前解锁角色，解锁格数将会重置并换成下一只),"Purchase this character?\n(If it's unlocking character, the poking chances will reset \nand the prize will become the next character.)",このキャラを購入する？\n(注意：購入するキャラは当スクラッチのキャラの場合は\nスクラッチした回数は引継しないままリセットする）,,
283,您通過了街機模式!,您通过了街机模式!,You cleared the arcade mode!,アーケードモードクリア！,,
284,要觀看廣告獲得額外的解鎖次數嗎?,要观看广告获得额外的解锁次数吗?,Do you want to watch ads to get extra poking changes?,広告を見てスクラッチ回数を増やしますか？,,
285,要觀看廣告來重新挑戰嗎?\n(若已購買移除廣告則會直接接關),要观看广告来重新挑战吗?\n(若已购买移除广告则会直接接关),Do you want to watch ads to retry?\n(The game will continue directly if remove ads already purchased.),広告を見て、再挑戦しますか？\n（”広告を削除する”を購入した人は広告なしですぐ再挑戦できます）,,
286,全角色解鎖包 & 移除廣告,全角色解锁包 & 移除广告,All characters unlock pack & Remove Ads,全キャラアンロックパック & 広告なし,,
287,是否確定購買此角色?\n(此角色為購買限定),是否确定购买此角色?\n(此角色为购买限定),Purchase this character?\n(This character is for purchasing only.),このキャラを購入する？\n（課金限定キャラ）,,
288,是否確定購買此組合包?,是否确定购买此组合包?,Purchase this pack?,このバンドルパック購入する？,,
289,已回復購買紀錄,已回复购买纪录,Restored Purchase.,購入が復元されました,,
290,無法送出要求，請檢查網路狀態,无法送出要求，请检查网路状态,"Request failed, please check the network status.",通信失敗、通信の確認をお願い致します,,
291,移除廣告,移除广告,Remove Ads,広告を削除する,,
