TargetLanguage,|,日本語
BestTime,|,ベストタイム
NewBestTime,|,ベストタイム更新！
EnemiesOutrun,|,> 敵から逃げた回数
OutrunBonus,|,+ エスケープボーナス
HeartBonus,|,+ ハートボーナス
PlayStageAgain,|,同じレベルをもう一度プレイする
Share,|,シェア
RateThisGame,|,このゲームを評価
Rate,|,評価！
IScoredXOnStageY,|,レベル ~Y~ で ~X~ を獲得しました!
IDefeatedBaron,|,バロンティグリッソを倒しました！
FinalBattle,|,ファイナルバトル
Revive,|,蘇生
Skip,|,スキップ
Tip,|,- TIPS -
TryAgain,|,やり直す
TryAgainQ,|,再試行？
Victory,|,勝利！！
VictoryLine2,|,あなたはバロンティグリッソを倒しました
WellDone,|,よくできました！！
PLAYER DIALOGUE,|,
KnockDownDoor,|,このドアを開けないと
LetsGetOutOfHere,|,ここから出よう
UhOh,|,おっと
Bam!,|,ドン！
Yes!,|,やったー！
MoreTrouble,|,嫌な予感がする!
AnotherCustomer,|,別のお客様
SeeYouLater,|,またね！
GoodNight,|,お休みなさい！
OneHit,|,ワンヒット！
GettingTheHangOfThis,|,コツが掴めてきました
ThinkIGetIt,|,分かった気がする
ImStrongerThanILook,|,僕は見た目より強い！
Hmm,|,うーん。。。
NeitherOfUsWon,|,どちらも勝てなかった
ThatWasADraw,|,引き分け
AnotherDraw,|,また引き分け
ShouldFightBack,|,反撃しないと
Ow,|,痛い！！
Nope,|,嫌だ
ThatDidntWork,|,効かない
WhatABully,|,いじめっ子が！
PretendThatDidntHappen,|,なかった事にしよう
WrongMove,|,間違った動き
NeedToBeCloser,|,動きはあってるけ*crどもっと近くないと
WouldHaveWorkedIfCloser,|,近かったら効いてたのに
PunchVsDuck,|,あの<F>ローキック<G>*crは僕の<F>パンチ<G>に勝った
KickVsPunch,|,多分ここは<F>ローキック<G>が答えだ
DuckVsKick,|,あの<F>キック<G>*crは僕の<F>ローキック<G>に勝った
LetsGetSerious,|,よし、本気をだそう！
EnoughTraining,|,よし練習はこれで十分だ*crこのレベルを実際に試してみよう！
GuessIShouldHurry,|,のんびりしていられない
BetterKeepMoving,|,動き続けないと！
IdBetterHurry,|,急がないと！
IdBetterRun,|,走らないと！
GoingToHaveToRun,|,走るよ！！
NotMuchTime,|,時間がない！！！
LetsGo,|,レッツゴー！
OKImGoing,|,分かった、今行くよ！
ThatWasEasy,|,簡単！
ThatWasntTooHard,|,難しくなかった
ThatWasClose,|,惜しかった！
TooSlowShaggy,|,遅いよ、眠いクマ！
HowInconsiderate,|,なんて思いやりのないヤツなんだ
goHint_bottleTip1,|,TIPS*cr敵とボトルの間に挟まれたら、*crボトルを優先にしましょう！
goHint_bottleTip2,|,TIPS*cr敵かボトルを攻撃しなければならなかったら、*crボトルを優先にしましょう！
goHint_shouldHaveHitCart,|,TIPS*cr敵かカートをを攻撃しなければならなかったら、*crカートを優先にしましょう！
goHint_foxTip1,|,キツネはパンチとキックが好きです！*crちゃんと観察しないと！
goHint_tapLeftToAttackLeft,|,TIPS*cr画面の左側をタップすると、左攻撃します
goHint_tapRightToAttackRight,|,TIPS*cr画面の右側をタップすると、右攻撃します
goHint_tigerTip1,|,このトラは<AA>中段<G>、<BB>下段<G>、<CC>上段<G> 攻撃が上手い！*crしかしラッキーなことに僕には*cr<AA>パンチ<G>、<BB>キック<G>そして <CC>ローキックが<G>ある！
goHint_run,|,TIPS*cr画面のどこでもタッチ&ホールド*crするとr走ります
goHint_runCont,|,TIPS*crどのボタンでも長押しすると走ります
uCongratsDiff1,|,よくできました！*crあなたはすべてのレベルを*cr難易度1でクリアしました
uCongratsDiff2,|,すばらしい！！*crあなたはすべてのレベルを*cr難易度2でクリアしました*cr
uCongratsDiff3,|,信じられない！！*crあなたはすべてのレベルを*cr難易度3でクリアしました
ub1,|,開放してくれてありがとう！！*cr私のビジネススキルによって、*crあなたが敵とリワード広告から貰うコインを二倍にします！
ub2,|,開放してくれてありがとう！！*cr私の交渉スキルによって、*crあなたがキャラクター開放に必要なコインが半分になりました！
KnockKnock,|,コンコン！
You!,|,貴様！！！
Hello,|,どうも、、、
zzBoss,|,ボス！
zzBrother,|,兄弟！！
zzCousin,|,いとこ！
zzFormerBusinessPartner,|,元ビジネスパートナー！
zzIDontKnow,|,何が起きているのかわからない！
zzLongtimeNemesis,|,長きライバル！
zzMyMaker,|,私の創造主！
zzMyOldStudent,|,元生徒！
zzOldFriend,|,古き友よ！
zzSpecimen,|,試作品248
zzThief,|,泥棒！
zzUncle,|,おじさん！
zzUsurper,|,強奪者！
zzWhoeverYouAre,|,誰だ
zzInsuranceNeeds,|,君の保険への必要性*crについて話がしたい
zzComplain,|,ここのレイアウトにつ*crいて苦情を申し立てたい
zzLostCar,|,実は、自分が停めた車*crを探してるんだよ
zzTrendJoiner,|,みんな君に戦いを挑んでいると聞いたから、*cr僕も戦わせてもらうよ
zzTigerTamer,|,みんな僕をトラ使いと呼ぶのさ！
zzTeachManners,|,僕はマナーを教えるために来た
zzPJs,|,夕方の三時なのにまだパジャマ？
zzTenBucks,|,貸した10ドルのために来た
zzBetterDoors,|,この場所にはもっといいドアが必要
zzTorchOut,|,ダンジョンで松明が一つ消*crえたことを知らせに来ました
