TargetLanguage,|,简体中文
CreditsLine4,|,附加音效
CreditsLine5,|,特别感谢
CreditsLine6,|,非常感谢测试团队！
CreditsLine7,|,翻译
Contact,|,联系
Off,|,关闭
UI - IN-GAME UI,|,
LevelXResult,|,阶段<X>成绩
Level,|,阶段
Result,|,成绩
Paused,|,暂停
Continue,|,继续
Restart,|,再开始
Quit,|,退出
QuitGame,|,退出游戏？
HideMenu,|,隐藏菜单
ShowMenu,|,点击屏幕以显示菜单
ShowMenu_Cont,|,按任意键显示菜单
CombatTraining,|,- 搏击训练 -
Punch,|,拳打
Kick,|,脚踢
Duck(Low),|,蹲伏
,|,
PunchTip,|,点击这里做*cr<D>拳打<E>攻击
KickTip,|,点击这里做*cr<D>脚踢<E>攻击
DuckTip,|,点击这里做*cr<D>蹲伏<E>攻击
SprintTip,|,走是自动的*cr*cr触摸并按住任何地方即可<D>跑<E>
SprintTipGamepad,|,走是自动的*cr*cr按住任何按钮即可<D>跑<E>
SprintTouchTip,|,<K>提示！<E>*cr你可以在跑的时候，将你的触摸拖到不同的位置而不会打断你的<D>跑<E> 
WalkTip,|,跑是自动的*cr*cr点击并按住任何地方即可<D>走<E>
WalkTipGamepad,|,跑是自动的*cr*cr按住任何按钮即可<D>走<E>
PunchBeatsKick,|,<A>拳打 <B>打败<C> 脚踢
KickBeatsDuck,|,<A>脚踢 <B>打败<C> 蹲伏
DuckBeatsPunch,|,<A>蹲伏 <B>打败<C> 拳打
PunchAttackLeft,|,<A>拳打<E>攻击左边
KickAttackLeft,|,<A>脚踢 <E>攻击左边
DuckAttackLeft,|,<A>蹲伏 <E>攻击左边
PunchAttackRight,|,<A>拳打<E>攻击右边
KickAttackRight,|,<A>脚踢<E>攻击右边
DuckAttackRight,|,<A>蹲伏 <E>攻击右边
ScoreNumTip,|,此数字显示你当前阶段的分数
ScoreMultiTip,|,此计数显示你因打败敌人而获得多少分数*cr*cr通过击中敌人或者跑来增加计数*cr*cr否则计数会慢慢地回落到1
ScoreHeartTip,|,心形给你第二次机会*cr*cr它会在你被击倒时使用，而如果你击败足够多的敌人，*cr你可以再次获得它
ScoreCoinsTip,|,有时敌人会掉落硬币*cr*cr你的总硬币显示在这里
ScoreOptionsTip,|,提示！*cr*cr你可以在<HLG>选项菜单<EHL><L>中更改<HLY>难度<EHL>并调整触摸控制
LSandPTip,|,可以横屏和纵屏方向玩
Next,|,下一个 >
DemoPlay,|,- 演示播放 -
TapToExit,|,点击退出
PressAnyButtonToExit,|,按任意按钮退出
BewareTheBear,|,当心熊！！
NewScore,|,新分数
BestScore,|,最好分数
NewBest,|,新的最好！
AllStagesTotal,|,所有阶段总计
AllStagesNewTotal,|,所有阶段的新总计
TotalScore,|,总得分
NewTotal,|,新总计！！
FinalScore,|,最终分数
StageTime,|,阶段时间
BestTime,|,最好时间
NewBestTime,|,新的最好时间
EnemiesOutrun,|,> 甩掉的敌人
OutrunBonus,|,+ 甩掉敌人的奖金
HeartBonus,|,+ 心形奖金
PlayStageAgain,|,再玩该阶段
Share,|,分享
RateThisGame,|,为此游戏评分
Rate,|,评价！
IScoredXOnStageY,|,在阶段~Y~我得~X~分！
IDefeatedBaron,|,我打败了泰格爵
FinalBattle,|,最后一战
Revive,|,复活
Skip,|,跳过
Tip,|,- 提示 -
TryAgain,|,再试
TryAgainQ,|,再试?
Victory,|,胜利！
VictoryLine2,|,你打败了泰格爵
WellDone,|,做得好！
PLAYER DIALOGUE,|,
KnockDownDoor,|,我需要通过这扇门
LetsGetOutOfHere,|,让我们离开这里
UhOh,|,哦哦
Bam!,|,砰！
Yes!,|,好！
MoreTrouble,|,更多麻烦！
AnotherCustomer,|,又一个客人
SeeYouLater,|,回头见！
GoodNight,|,晚安！
OneHit,|,一击！
GettingTheHangOfThis,|,我掌握这个了！
ThinkIGetIt,|,好吧，我想*cr我明白了
ImStrongerThanILook,|,我比看起来强壮多了！
Hmm,|,嗯。。。
NeitherOfUsWon,|,我们俩都没有赢
ThatWasADraw,|,那是平局
AnotherDraw,|,另一个平局
ShouldFightBack,|,我应该反击
Ow,|,哎哟！ ！
Nope,|,不
ThatDidntWork,|,那没用
WhatABully,|,真是个恶霸！
PretendThatDidntHappen,|,假装没有发生
WrongMove,|,错误的动作
NeedToBeCloser,|,正确的动作，*cr但我需要更近
WouldHaveWorkedIfCloser,|,如果我离得更近，*cr那会有用的
PunchVsDuck,|,那 <F>蹲伏<G> 攻击*cr打败我的 <F>拳打<G>
KickVsPunch,|,我想 一个 <F>蹲伏<G> 攻击*cr是这儿的答案
DuckVsKick,|,那 <F>脚踢<G>*cr打败我的 <F>蹲伏<G> 攻击
LetsGetSerious,|, 好吧，让我们认真点！
EnoughTraining,|, 好了，足够的培训了*cr让我们认真地尝试这个阶段！
GuessIShouldHurry,|,我想我应该快点
BetterKeepMoving,|,最好继续前进！
IdBetterHurry,|,我最好快点 ！
IdBetterRun,|,我最好跑！
GoingToHaveToRun,|,一定要跑！！
NotMuchTime,|,没多少时间了！！！
LetsGo,|,我们走吧！
OKImGoing,|,好吧，我要离开
ThatWasEasy,|,噢， 那很容易
ThatWasntTooHard,|,那并不难
ThatWasClose,|,差一点儿！
TooSlowShaggy,|,太慢了，毛茸茸！
HowInconsiderate,|,多么不体贴！
goHint_bottleTip1,|,提示！ 如果我夹击在一个敌人和一个瓶子之间，*cr我应该先应付那个瓶子
goHint_bottleTip2,|,提示！ 如果我必须在攻击敌人或处理瓶子之间做出选择，*cr我应该先选择瓶子
goHint_shouldHaveHitCart,|,提示！ 如果我必须在击中敌人或击中手推车之间做出选择，*cr我最好先击中手推车
goHint_foxTip1,|,那些狐狸喜欢拳打和脚踢！*cr我最好留意他们如何接近我
goHint_tapLeftToAttackLeft,|,提示！ 点击屏幕左侧*cr以向左侧攻击
goHint_tapRightToAttackRight,|,提示！ 点击屏幕右侧*cr以向右侧攻击
goHint_tigerTip1,|,老虎擅长*cr<AA>中<G>， <BB>低<G>， 和<CC>高<G>攻击。。。*cr幸运的是我擅长*cr<AA>拳打<G>， <BB>脚踢<G>，和<CC>蹲伏！！
goHint_run,|,提示！ 触摸并按住任何地方即可跑
goHint_runCont,|,提示！ 按住任何按钮即可跑
uCongratsDiff1,|,做得好！*cr你已完成难度等级1的所有阶段
uCongratsDiff2,|,太棒了！！*cr你已完成难度等级2的所有阶段
uCongratsDiff3,|,好极了！！！*cr你已完成难度等级3的所有阶段
ub1,|,谢谢你拆我的箱！*cr我的业务技能意味着你现在将从敌人*cr和奖励广告中获得两倍的硬币！
ub2,|,谢谢你拆我的箱！！*cr我的讨价还价技巧意味着拆箱*cr角色所需的硬币数量现已减半！
KnockKnock,|,敲敲
You!,|,你！
Hello,|,你好。。。
zzBoss,|,老板！
zzBrother,|,哥哥！！
zzCousin,|,表哥！
zzFormerBusinessPartner,|,前商业伙伴！
zzIDontKnow,|,我不知道发生了什么事
zzLongtimeNemesis,|,宿敌！
zzMyMaker,|,我的创造者！
zzMyOldStudent,|,我以前的学生！
zzOldFriend,|,老朋友！
zzSpecimen,|,标本 248
zzThief,|,窃贼！
zzUncle,|,叔叔！
zzUsurper,|,篡位者！
zzWhoeverYouAre,|,无论你是谁
zzInsuranceNeeds,|,我想和你谈谈你的保险需求
zzComplain,|,我想就这个地方的布局提出投诉
zzLostCar,|,其实我只是在找我车停哪儿了
zzTrendJoiner,|,我听说每个人都在和你打架，*cr所以我想。。。为什么不呢？
zzTigerTamer,|,他们叫我驯虎师！
zzTeachManners,|,我是来教你一些礼仪的
zzPJs,|,现在是下午三点，*cr你还穿着睡衣？
zzTenBucks,|,我来是为了你欠我的十块钱
zzBetterDoors,|,这个地方真的*cr需要更好的门
zzTorchOut,|,只是想让你知道地*cr牢里的一个火把熄灭了
