TargetLanguage,|,繁體中文
Hmm,|,嗯。。。
NeitherOfUsWon,|,我們倆都沒有贏
ThatWasADraw,|,那是平局
AnotherDraw,|,另一個平局
ShouldFightBack,|,我應該反擊
Ow,|,哎喲！！
Nope,|,不
ThatDidntWork,|,那沒用
WhatABully,|,真是個惡霸！
PretendThatDidntHappen,|,假裝沒有發生
WrongMove,|,錯誤的動作
NeedToBeCloser,|,正確的動作，*cr但我需要更近
WouldHaveWorkedIfCloser,|,如果我離得更近，*cr那會有用的
PunchVsDuck,|,那 <F>蹲伏<G> 攻擊*cr打敗我的 <F>拳打<G>
KickVsPunch,|,我想一個 <F>蹲伏<G> 攻擊*cr是這兒的答案
DuckVsKick,|,那 <F>脚踢<G>*cr打敗我的 <F>蹲伏<G> 攻擊
LetsGetSerious,|,好吧，讓我們認真點！
EnoughTraining,|,好了，足够的培訓了*cr讓我們認真地嘗試這個階段！
GuessIShouldHurry,|,我想我應該快點
BetterKeepMoving,|,最好繼續前進！
IdBetterHurry,|,我最好快點！
IdBetterRun,|,我最好跑！
GoingToHaveToRun,|,一定要跑！！
NotMuchTime,|,沒多少時間了！！！
LetsGo,|,我們走吧！
OKImGoing,|,好吧，我要離開
ThatWasEasy,|,噢，那很容易
ThatWasntTooHard,|,那並不難
ThatWasClose,|,差一點兒！
TooSlowShaggy,|,太慢了，毛茸茸！
HowInconsiderate,|,多麼不體貼！
goHint_bottleTip1,|,提示！如果我夾擊在一個敵人和一個瓶子之間，*cr我應該先應付那個瓶子
goHint_bottleTip2,|,提示！如果我必須在攻擊敵人或處理瓶子之間做出選擇，*cr我應該先選擇瓶子
goHint_shouldHaveHitCart,|,提示！如果我必須在擊中敵人或擊中手推車之間做出選擇，*cr我最好先擊中手推車
goHint_foxTip1,|,那些狐狸喜歡拳打和脚踢！*cr我最好留意他們如何接近我
goHint_tapLeftToAttackLeft,|,提示！點擊屏幕左側*cr以向左側攻擊
goHint_tapRightToAttackRight,|,提示！點擊屏幕右側*cr以向右側攻擊
goHint_tigerTip1,|,老虎擅長*cr<AA>中<G>，<BB>低<G>，和<CC>高<G>攻擊。。。*cr幸運的是我擅長*cr<AA>拳打<G>，<BB>脚踢<G>，和<CC>蹲伏！！
goHint_run,|,提示！觸摸並按住任何地方即可跑
goHint_runCont,|,提示！按住任何按鈕即可跑
uCongratsDiff1,|,做得好！*cr你已完成難度等級1的所有階段
uCongratsDiff2,|,太棒了！！*cr你已完成難度等級2的所有階段
uCongratsDiff3,|,好極了！！！*cr你已完成難度等級3的所有階段
ub1,|,謝謝你拆我的箱！*cr我的業務技能意味著你現在將從敵人*cr和獎勵廣告中獲得兩倍的硬幣！
ub2,|,謝謝你拆我的箱！！*cr我的討价還价技巧意味著拆箱*cr角色所需的硬幣數量現已减半！ 
KnockKnock,|,敲敲
You!,|,你！
Hello,|,你好。。。
zzBoss,|,老闆！
zzBrother,|,哥哥！！
zzCousin,|,表哥！
zzFormerBusinessPartner,|,前商業夥伴！
zzIDontKnow,|,我不知道發生了什麼事
zzLongtimeNemesis,|,宿敵！
zzMyMaker,|,我的創造者！
zzMyOldStudent,|,我以前的學生！
zzOldFriend,|,老朋友！
zzSpecimen,|,標本248
zzThief,|,竊賊！
zzUncle,|,叔叔！
zzUsurper,|,篡位者！
zzWhoeverYouAre,|,無論你是誰
zzInsuranceNeeds,|,我想和你談談你的保險需求
zzComplain,|,我想就這個地方的佈局提出投訴
zzLostCar,|,其實我只是在找我車停哪兒了
zzTrendJoiner,|,我聽說每個人都在和你打架，*cr所以我想。。。 為什麼不呢？
zzTigerTamer,|,他們叫我馴虎師！
zzTeachManners,|,我是來教你一些禮儀的
zzPJs,|,現在是下午三點，*cr你還穿著睡衣？
zzTenBucks,|,我來是為了你欠我的十塊錢
zzBetterDoors,|,這個地方真的*cr需要更好的門
zzTorchOut,|,只是想讓你知道地*cr牢裏的一個火把熄滅了
