TargetLanguage,|,ITALIANO
Continue,|,CONTINUA
Restart,|,RICOMINCIA
Quit,|,ESCI
QuitGame,|,ESCI DAL GIOCO?
HideMenu,|,NASCONDI IL MENU
ShowMenu,|,TOCCA LO SCHERMO PER VISUALIZZARE IL MENU
ShowMenu_Cont,|,PREMI UN PULSANTE QUALSIASI PER VISUALIZZARE IL MENU
CombatTraining,|,- ADDESTRAMENTO -
Punch,|,PUGNO
Kick,|,CALCIO
Duck(Low),|,SCHIVATA
,|,
PunchTip,|,TOCCA QUI PER ATTACCARE*crCON UN <D>PUGNO<E>
KickTip,|,TOCCA QUI PER ATTACCARE*crCON UN <D>CALCIO<E>
DuckTip,|,TOCCA QUI PER ATTACCARE*crCON UN <D>SCHIVATA<E>
SprintTip,|,CAMMINA IN AUTOMATICO*cr*crTOCCA E TIENI PREMUTO IN UN PUNTO QUALSIASI PER <D>CORRERE<E>
SprintTipGamepad,|,CAMMINA IN AUTOMATICO*cr*crTOCCA E PREMI UN TASTO QUALSIASI PER <D>CORRERE<E>
SprintTouchTip,|,<K>CONSIGLIO!<E>*crPUOI TOCCARE LO SCHERMO IN UN PUNTO DIVERSO DURANTE LA <D>CORSA<E> SENZA INTERROMPERLA
WalkTip,|,CORRI IN AUTOMATICO*cr*crTOCCA E TIENI PREMUTO IN UN PUNTO QUALSIASI PER <D>CAMMINARE<E>
WalkTipGamepad,|,CORRI IN AUTOMATICO*cr*crTOCCA E PREMI UN TASTO QUALSIASI PER <D>CAMMINARE<E>
PunchBeatsKick,|,<A>PUGNO <B>BATTE<C> CALCIO
KickBeatsDuck,|,<A>CALCIO <B>BATTE<C> SCHIVATA
DuckBeatsPunch,|,<A>SCHIVATA <B>BATTE<C> PUGNO
PunchAttackLeft,|,<A>PUGNO <E> SINISTRA
KickAttackLeft,|,<A>CALCIO <E> SINISTRA
DuckAttackLeft,|,<A>SCHIVATA <E>SINISTRA
PunchAttackRight,|,<A>PUGNO <E> DESTRA
KickAttackRight,|,<A>CALCIO <E> DESTRA
DuckAttackRight,|,<A>SCHIVATA <E>DESTRA
ScoreNumTip,|,QUESTO NUMERO MOSTRA IL TUO PUNTEGGIO PER IL LIVELLO ATTUALE
ScoreMultiTip,|,QUESTO CONTATORE MOSTRA QUANTI*crPUNTI OTTIENI DAI NEMICI SCONFITTI*cr*crAUMENTA IL NUMERO*crCOLPENDO I NEMICI O CORRENDO*cr*crALTRIMENTI IL CONTATORE*crTORNERÀ LENTAMENTE A 1
ScoreHeartTip,|,IL CUORE TI OFFRE UNA SECONDA POSSIBILITÀ*cr*crVIENE CONSUMATO QUANDO SEI K.O.*comma*crMA PUOI GUADAGNARLO DI NUOVO*crSE SCONFIGGI ABBASTANZA NEMICI
ScoreCoinsTip,|,A VOLTE I NEMICI LASCIANO*crCADERE DELLE MONETE*cr*crLE TUE MONETE TOTALI*crSONO MOSTRATE QUI
ScoreOptionsTip,|,CONSIGLIO!*cr*crPUOI CAMBIARE LA <HLY>DIFFICOLTÀ<EHL>*crE REGOLARE I COMANDI TOUCH*crNEL <HLG>MENU OPZIONI<EHL> <L>
LSandPTip,|,GIOCABILE CON ORIENTAMENTO ORIZZONTALE E VERTICALE
Next,|,AVANTI >
DemoPlay,|,- DEMO -
TapToExit,|,TOCCA PER USCIRE
PressAnyButtonToExit,|,PREMI UN PULSANTE QUALSIASI PER USCIRE
BewareTheBear,|,ATTENZIONE ALL'ORSO!
NewScore,|,NUOVO PUNTEGGIO
BestScore,|,MIGLIOR PUNTEGGIO
NewBest,|,NUOVO MIGLIOR PUNTEGGIO!
AllStagesTotal,|,TOTALE: LIVELLI COMPLESSIVI
AllStagesNewTotal,|,NUOVO TOTALE: LIVELLI COMPLESSIVI
TotalScore,|,PUNTEGGIO TOTALE
NewTotal,|,NUOVO TOTALE!
FinalScore,|,PUNTEGGIO FINALE
StageTime,|,TEMPO LIVELLO
BestTime,|,MIGLIOR TEMPO
NewBestTime,|,NUOVO MIGLIOR TEMPO
EnemiesOutrun,|,> NEMICI SEMINATI
OutrunBonus,|,+ BONUS FUGA
HeartBonus,|,+ CUORE BONUS
PlayStageAgain,|,RIPETI IL LIVELLO
Share,|,CONDIVIDI
RateThisGame,|,VALUTA   QUESTO   GIOCO
Rate,|,VALUTARE!
IScoredXOnStageY,|,HO OTTENUTO ~X~ PUNTI NEL LIVELLO ~Y~!
IDefeatedBaron,|,HO SCONFITTO IL BARONE TIGRISSO!
FinalBattle,|,BATTAGLIA FINALE
Revive,|,RISVEGLIA
Skip,|,SALTA
Tip,|,- CONSIGLIO -
TryAgain,|,RIPROVA
TryAgainQ,|,RIPROVARE?
Victory,|,VITTORIA!
VictoryLine2,|,HAI SCONFITTO IL BARONE TIGRISSO
WellDone,|,BEN FATTO!
PLAYER DIALOGUE,|,
KnockDownDoor,|,DEVO SUPERARE QUESTA PORTA
LetsGetOutOfHere,|,ANDIAMO VIA DA QUI
UhOh,|,OH-OH
Bam!,|,EVVAI!
Yes!,|,OH YES!
MoreTrouble,|,ALTRI PROBLEMI!
AnotherCustomer,|,ECCONE UN ALTRO!
SeeYouLater,|,CI VEDIAMO!
GoodNight,|,BUONA NOTTE!
OneHit,|,IN UN COLPO!
GettingTheHangOfThis,|,CI STO PRENDENDO*crLA MANO!
ThinkIGetIt,|,VA BENE*comma PENSO*crDI AVER CAPITO...
ImStrongerThanILook,|,SONO PIÙ FORTE *crDI QUELLO CHE SEMBRA!
Hmm,|,MMH...
NeitherOfUsWon,|,NON HA VINTO*crNESSUNO
ThatWasADraw,|,QUESTO ERA UN PAREGGIO!
AnotherDraw,|,UN ALTRO PAREGGIO!
ShouldFightBack,|,DOVREI*crCONTRATTACCARE
Ow,|,AHIA!!
Nope,|,NO-NO!
ThatDidntWork,|,NON HA FUNZIONATO!
WhatABully,|,CHE BULLO!
PretendThatDidntHappen,|,FINGIAMO CHE *crNON SIA MAI SUCCESSO
WrongMove,|,MOSSA SBAGLIATA...
NeedToBeCloser,|,MOSSA CORRETTA*comma *crMA DEVO AVVICINARMI
WouldHaveWorkedIfCloser,|,AVREBBE FUNZIONATO*crSE FOSSI STATO PIÙ VICINO...
PunchVsDuck,|,QUELLA <F>SCHIVATA<G> *crBATTE IL MIO <F>PUGNO<G>
KickVsPunch,|,PENSO CHE UNA <F>SCHIVATA<G>*crSIA QUELLO CHE CI VUOLE
DuckVsKick,|,QUEL <F>CALCIO<G>*crBATTE LA MIA <F>SCHIVATA<G>
LetsGetSerious,|,OK*comma ADESSO SI FA SUL SERIO!
EnoughTraining,|,OK*comma BASTA ALLENAMENTO.*crPROVIAMO QUESTO LIVELLO PER DAVVERO!
GuessIShouldHurry,|,CREDO DI DOVERMI SBRIGARE...
BetterKeepMoving,|,MEGLIO CONTINUARE!
IdBetterHurry,|,MEGLIO SBRIGARSI!
IdBetterRun,|,È MEGLIO CORRERE!
GoingToHaveToRun,|,BISOGNA DAVVERO CORRERE!!
NotMuchTime,|,NON C'È PIÙ TEMPO!!!
LetsGo,|,ANDIAMO!
OKImGoing,|,OK OK*comma VADO!
ThatWasEasy,|,OK*comma È STATO FACILE!
ThatWasntTooHard,|,NON È STATO*crTROPPO DIFFICILE
ThatWasClose,|,C'È MANCATO POCO!
TooSlowShaggy,|,TROPPO LENTO*comma PELOSONE!
HowInconsiderate,|,CHE MALEDUCATO!
goHint_bottleTip1,|,CONSIGLIO! SE HO DAVANTI SIA UN NEMICO CHE UNA BOTTIGLIA*comma*crDOVREI PROVARE PRIMA A LIBERARMI DELLA BOTTIGLIA
goHint_bottleTip2,|,CONSIGLIO! SE DEVO SCEGLIERE TRA*crATTACCARE UN NEMICO O AFFRONTARE UNA BOTTIGLIA*comma*crDOVREI PUNTARE PRIMA ALLA BOTTIGLIA
goHint_shouldHaveHitCart,|,CONSIGLIO! SE DEVO SCEGLIERE TRA*crCOLPIRE UN NEMICO O COLPIRE UN CARRELLO*comma*crÈ MEGLIO COLPIRE PRIMA IL CARRELLO
goHint_foxTip1,|,QUELLE VOLPI AMANO USARE CALCI E PUGNI!*crMEGLIO OSSERVARE IL MODO IN CUI SI AVVICINANO
goHint_tapLeftToAttackLeft,|,CONSIGLIO! TOCCA SUL LATO SINISTRO DELLO SCHERMO *crPER ATTACCARE A SINISTRA
goHint_tapRightToAttackRight,|,CONSIGLIO! TOCCA SUL LATO DESTRO DELLO SCHERMO*crPER ATTACCARE A DESTRA
goHint_tigerTip1,|,QUESTA TIGRE È ABILE NEGLI*crATTACCHI <AA>MEDI<G>*comma <BB>BASSI<G> E <CC>ALTI<G>...*crPER FORTUNA IO SONO BRAVO CON*cr<AA>PUGNI<G>*comma <BB>CALCI<G>*comma E A <CC>SCHIVARE!!
goHint_run,|,CONSIGLIO! TOCCA E TIENI PREMUTO*crIN UN PUNTO QUALSIASI PER CORRERE
goHint_runCont,|,CONSIGLIO! TOCCA E PREMI UN*crTASTO QUALSIASI PER CORRERE
uCongratsDiff1,|,BEN FATTO!*crHAI SUPERATO TUTTI I LIVELLI*crA DIFFICOLTÀ LIVELLO 1
uCongratsDiff2,|,FANTASTICO!*crHAI SUPERATO TUTTI I LIVELLI*crA DIFFICOLTÀ LIVELLO 2
uCongratsDiff3,|,INCREDIBILE!*crHAI SUPERATO TUTTI I LIVELLI*crA DIFFICOLTÀ LIVELLO 3
ub1,|,GRAZIE PER AVERMI SBLOCCATO!*crGRAZIE ALLA MIA ABILITÀ NEGLI AFFARI RICEVERAI *crIL DOPPIO DELLE MONETE DAI NEMICI E DAGLI ANNUNCI PREMIO!
ub2,|,GRAZIE PER AVERMI SBLOCCATO!*crGRAZIE ALLE MIE ABILITÀ NELLA CONTRATTAZIONE *crORA PUOI SBLOCCARE I PERSONAGGI A METÀ PREZZO!
KnockKnock,|,TOC TOC
You!,|,TU!!
Hello,|,CIAO...
zzBoss,|,CAPO!
zzBrother,|,FRATELLO!
zzCousin,|,CUGINO!
zzFormerBusinessPartner,|,VECCHIO SOCIO IN AFFARI!
zzIDontKnow,|,NON HO IDEA DI COSA STIA SUCCEDENDO!
zzLongtimeNemesis,|,LA MIA VECCHIA NEMESI!
zzMyMaker,|,IL MIO CREATORE!
zzMyOldStudent,|,IL MIO VECCHIO STUDENTE!
zzOldFriend,|,VECCHIO AMICO!
zzSpecimen,|,CAMPIONE 248
zzThief,|,LADRO!
zzUncle,|,ZIO!
zzUsurper,|,USURPATORE!
zzWhoeverYouAre,|,CHIUNQUE TU SIA
zzInsuranceNeeds,|,VORREI PARLATI DI UNA*crNUOVA POLIZZA ASSICURATIVA
zzComplain,|,VOGLIO PRESENTARE UN RECLAMO*crSULL'ARCHITETTURA DI QUESTO POSTO!
zzLostCar,|,IN REALTÀ STO SOLO CERCANDO DI RICORDARE*crDOVE HO LASCIATO LA MIA AUTO...
zzTrendJoiner,|,HO SENTITO CHE TUTTI*crVOGLIONO COMBATTERE CONTRO DI TE*comma*crCOSÌ HO PENSATO... EHI*comma PERCHÉ NO?
zzTigerTamer,|,MI CHIAMANO IL DOMATORE DI TIGRI!
zzTeachManners,|,SONO QUI PER INSEGNARTI*crLE BUONE MANIERE
zzPJs,|,SONO LE TRE DEL POMERIGGIO E*crSEI ANCORA IN PIGIAMA?
zzTenBucks,|,SONO QUI PER I DIECI*crBIGLIETTONI CHE MI DEVI
zzBetterDoors,|,HAI DAVVERO BISOGNO DI*crPORTE MIGLIORI IN QUESTO POSTO
zzTorchOut,|,VOLEVO SOLO FARTI SAPERE CHE*crUNA DELLE TORCE NELLE SEGRETE*crSI È SPENTA
