TargetLanguage,|,PORTUGUÊS
UnboxSpecial2,|,DESEMPACOTAR ESTE PERSONAGEM IRÁ REDUZIR PELA METADE O CUSTO DE TODOS OS PERSONAGENS A QUAL PODEM SER DESEMPACOTADOS COM MOEDAS DO JOGO
PurchaseFailed,|,COMPRA NÃO FEITA
RemoveAds,|,REMOVA   ANÚNCIOS!
RemoveAdsInfo,|,REMOVA ANÚNCIOS*cr*crREMOVE ANÚNCIOS POP-UP E ADICIONA A OPÇÃO PARA DESABILITAR ANÚNCIOS COM RECOMPENSA
AdsRemoved,|,ANÚNCIOS POP-UP REMOVIDOS!*cr*crVOCÊ TAMBÉM PODE ESCOLHER DESABILITAR OU HABILITAR ANÚNCIOS COM RECOMPENSAS NO MENU DE OPÇÕES <L>*cr*crOBRIGADO PELO SEU APOIO!!
RestorePurchases,|,RESTAURAR COMPRAR
Checking,|,VERIFICANDO...
RequestTimedOut,|,PEDIDO EXPIRADO
RestoreFailed,|,NÃO FOI POSSÍVEL SE CONECTAR COM A LOJA
RestoreFound,|,RESTAURAÇÃO COM SUCESSO!
RestoreNoneFound,|,NENHUMA COMPRA ANTERIOR ENCONTRADA
RestoreNoNew,|,COMPRAS ANTERIORES JÁ DESBLOQUEADAS
Collection,|,COLEÇÃO:
Random,|,ALEATÓRIO:
IncludeInRandom,|,INCLUIDO NO ALEATÓRIO
NotEnoughCoins,|,PRECISA DE MAIS MOEDAS!!
WatchAd,|,VEJA UM ANÚNCIO PARA OBTER ~X~
WatchAdAlt,|,ASSISTIR ANÚNCIO
WatchAdError,|,ERRO AO TOCAR ANÚNCIO
AdSkipped,|,ANÚNCIO NÃO CHEGOU AO FINAL
NotSignedIn,|,NÃO FEZ LOGIN
Credits,|,CRÉDITOS
SelectLevel,|,SELECIONAR*crFASE
TuteON,|,TUTORIAL
Done(Exit),|,OK
Close,|,FECHAR
OK,|,OK
CreditsLine1,|,DESIGN*comma PROGRAMAÇÃO*comma GRÁFICOS*comma SOM E MÚSICA
CreditsLine2,|,PRODUTOR EXECUTIVO
CreditsLine3,|,MODELOS 3D ADICIONAIS
CreditsLine4,|,EFEITOS SONOROS ADICIONAIS
CreditsLine5,|,AGRADECIMENTOS ESPECIAIS
CreditsLine6,|,MUITO OBRIGADO PARA A EQUIPE DE TESTE!
CreditsLine7,|,TRADUÇÕES
Contact,|,CONTATO
Off,|,NÃO
UI - IN-GAME UI,|,
LevelXResult,|,FASE<X>RESULTADO
Level,|,FASE
Result,|,RESULTADO
Paused,|,PAUSADO
Continue,|,CONTINUAR
Restart,|,REINICIAR
Quit,|,SAIR
QuitGame,|,SAIR DO JOGO?
HideMenu,|,ESCONDER MENU
ShowMenu,|,TOQUE NA TELA PARA MOSTRAR O MENU
ShowMenu_Cont,|,PRESSIONE QUALQUER BOTÃO PARA MOSTRAR O MENU
CombatTraining,|,- TREINAMENTO DE COMBATE -
Punch,|,SOCO
Kick,|,CHUTE
Duck(Low),|,ABAIXAR
,|,
PunchTip,|,TOQUE AQUI PARA DAR UM*crATAQUE <D>SOCO<E>
KickTip,|,TOQUE AQUI PARA DAR UM*crATAQUE <D>CHUTE<E>
DuckTip,|,TOQUE AQUI PARA DAR UM*crATAQUE <D>ABAIXAR<E>
SprintTip,|,O CAMINHAR É AUTOMÁTICO*cr*crTOQUE E SEGURE EM QUALQUER LUGAR PARA <D>CORRER<E>
SprintTipGamepad,|,O CAMINHAR É AUTOMÁTICO*cr*crSEGURE QUALQUER BOTÃO PARA <D>CORRER<E>
SprintTouchTip,|,<K>DICA!<E>*crVOCÊ PODE ARRASTAR O SEU TOQUE PARA UM LUGAR DIFERENTE ENQUANTO CORRE SEM INTERROMPER A SUA <D>CORRIDA<E>
WalkTip,|,O CORRER É AUTOMÁTICO*cr*crTOQUE E SEGURE EM QUALQUER LUGAR PARA <D>CAMINHAR<E>
WalkTipGamepad,|,O CORRER É AUTOMÁTICO*cr*crSEGURE QUALQUER BOTÃO PARA <D>CAMINHAR<E>
PunchBeatsKick,|,<A>SOCO <B>GANHA DO<C> CHUTE
KickBeatsDuck,|,<A>CHUTE <B>GANHA DO<C> ABAIXAR
DuckBeatsPunch,|,<A>ABAIXAR <B>GANHA DO<C> SOCO
PunchAttackLeft,|,<A>SOCO <E>ATAQUE A ESQUERDA
KickAttackLeft,|,<A>CHUTE <E>ATAQUE A ESQUERDA
DuckAttackLeft,|,<A>ABAIXAR <E>ATAQUE A ESQUERDA
PunchAttackRight,|,<A>SOCO <E>ATAQUE A DIREITA
KickAttackRight,|,<A>CHUTE <E>ATAQUE A DIREITA
DuckAttackRight,|,<A>ABAIXAR <E>ATAQUE A DIREITA
ScoreNumTip,|,ESTE NÚMERO MOSTRA A SUA*crPONTUAÇÃO NA FASE ATUAL
ScoreMultiTip,|,ESTE CONTADOR MOSTRA QUANTOS PONTOS*crVOCÊ GANHARÁ AO DERROTAR INIMIGOS*cr*crAUMENTE O CONTADOR AO*crACERTAR INIMIGOS OU AO CORRER*cr*crSE NÃO O FIZER*comma O CONTADOR LENTAMENTE*crIRÁ CAIR DE VOLTA A 1
ScoreHeartTip,|,O CORAÇÃO TE DARÁ UMA SEGUNDA CHANCE*cr*crÉ USADO QUANDO VOCÊ FOR DERRUBADO*crMAS VOCÊ PODE PEGAR ELE DE VOLTA*crSE DERROTAR INIMIGOS SUFICIENTES
ScoreCoinsTip,|,OCASIONALMENTE INIMIGOS*crIRÃO DERRUBAR MOEDAS*cr*crSUAS MOEDAS TOTAIS*crSERÃO MOSTRADAS AQUI
ScoreOptionsTip,|,DICA!*cr*crVOCÊ PODE TROCAR A <HLY>DIFICULDADE<EHL>*crE AJUSTAR OS CONTROLES DE TOQUE*crNO <HLG>MENU DE OPÇÕES<EHL> <L>
LSandPTip,|,JOGUE TANTO NA ORIENTAÇÃO DE PAISAGEM OU RETRATO
Next,|,PRÓXIMO >
DemoPlay,|,- DEMONSTRAÇÃO -
TapToExit,|,TOQUE PARA SAIR
PressAnyButtonToExit,|,APERTE QUALQUER BOTÃO PARA SAIR
BewareTheBear,|,CUIDADO COM O URSO!!
NewScore,|,NOVA PONTUAÇÃO
BestScore,|,MELHOR PONTUAÇÃO
NewBest,|,NOVO MELHOR!
AllStagesTotal,|,TOTAL DE TODAS AS FASES
AllStagesNewTotal,|,NOVO TOTAL DE TODAS AS FASES
TotalScore,|,PONTUAÇÃO TOTAL
NewTotal,|,NOVO TOTAL!!
FinalScore,|,PONTUAÇÃO FINAL
StageTime,|,TEMPO DE FASE
BestTime,|,MELHOR TEMPO
NewBestTime,|,NOVO MELHOR TEMPO
EnemiesOutrun,|,> INIMIGOS ESCAPADOS
OutrunBonus,|,+ BÔNUS DE ESCAPAR
HeartBonus,|,+ BÔNUS DE CORAÇÃO
PlayStageAgain,|,JOGAR A FASE NOVAMENTE
Share,|,COMPARTILHAR
RateThisGame,|,AVALIAR   ESTE   JOGO
Rate,|,AVALIAR!
IScoredXOnStageY,|,CONSEGUI A PONTUAÇÃO DE ~X~ NA FASE ~Y~!
IDefeatedBaron,|,DERROTEI O BARÃO TIGRISSO!
FinalBattle,|,BATALHA FINAL
Revive,|,REVIVER
Skip,|,PULAR
Tip,|,- DICA -
TryAgain,|,TENTE NOVAMENTE
TryAgainQ,|,TENTAR NOVAMENTE?
Victory,|,VITÓRIA!!
VictoryLine2,|,VOCÊ DERROTOU O BARÃO TIGRISSO
WellDone,|,PARABÉNS!!
PLAYER DIALOGUE,|,
KnockDownDoor,|,PRECISO PASSAR POR ESSA PORTA
LetsGetOutOfHere,|,VAMOS DAR UM FORA DAQUI
UhOh,|,AH NÃO
Bam!,|,TOMA!
Yes!,|,ISSO AI!
MoreTrouble,|,MAIS PROBLEMAS!
AnotherCustomer,|,MAIS UM FREGUÊS
SeeYouLater,|,TE VEJO POR AI!
GoodNight,|,BOA NOITE!
OneHit,|,UM SÓ GOLPE!
GettingTheHangOfThis,|,TÔ PEGANDO *crO JEITO!
ThinkIGetIt,|,OK*comma ACHO QUE*crENTENDI
ImStrongerThanILook,|,SOU MAIS FORTE*crDO QUE PAREÇO!
Hmm,|,HMM...
NeitherOfUsWon,|,NENHUM DE NÓS*crGANHOU ESSA
ThatWasADraw,|,FOI UM EMPATE
AnotherDraw,|,OUTRO EMPATE
ShouldFightBack,|,EU DEVERIA*crCONTRA-ATACAR
Ow,|,AI!!!
Nope,|,NÃO
ThatDidntWork,|,NÃO FUNCIONOU
WhatABully,|,MAS QUE BRIGÃO!
PretendThatDidntHappen,|,FINGE QUE NÃO*crACONTECEU
WrongMove,|,GOLPE ERRADO
NeedToBeCloser,|,GOLPE CERTO*comma MAS PRECISO*crCHEGAR MAIS PERTO
WouldHaveWorkedIfCloser,|,TERIA FUNCIONADO SE*crEU ESTIVESSE MAIS PERTO
PunchVsDuck,|,AQUELE ATAQUE <F>ABAIXAR<G>*crGANHA DO MEU <F>SOCO<G>
KickVsPunch,|,ACHO QUE UM ATAQUE <F>ABAIXAR<G>*crÉ A RESPOSTA CERTA 
DuckVsKick,|,AQUELE <F>CHUTE<G>*crGANHA DO MEU ATAQUE <F>ABAIXAR<G>
LetsGetSerious,|,OK*comma VAMOS LEVAR A SÉRIO!
EnoughTraining,|,OK*comma JÁ DEU DE TRINO*crVAMOS TENTAR DE VERDADE ESSA FASE!
GuessIShouldHurry,|,ACHO QUE DEVIA ME APRESSAR
BetterKeepMoving,|,MELHOR CONTINUAR!
IdBetterHurry,|,MELHOR ME APRESSAR!
IdBetterRun,|,MELHOR EU CORRER!
GoingToHaveToRun,|,TENHO QUE CORRER!!
NotMuchTime,|,FALTA POUCO!!!
LetsGo,|,BORA!
OKImGoing,|,OK OK*comma ESTOU INDO
ThatWasEasy,|,BEM*comma ISSO FOI FÁCIL
ThatWasntTooHard,|,NÃO FOI MUITO*crDIFÍCIL
ThatWasClose,|,PASSEI POR PERTO!
TooSlowShaggy,|,TEM QUE SER MAIS RÁPIDO*comma PELUDÃO!
HowInconsiderate,|,QUE ARROGÂNCIA
goHint_bottleTip1,|,DICA! SE EU FOR PEGO ENTRE UM INIMIGO E UMA GARRAFA*comma*crEU DEVERIA LIDAR COM A GARRAFA PRIMEIRO
goHint_bottleTip2,|,DICA! SE EU TIVER QUE ESCOLHER ENTRE*crATACAR UM INIMIGO OU LIDAR COM UMA GARRAFA*comma*crEU DEVERIA ESCOLHER PRIMEIRO A GARRAFA
goHint_shouldHaveHitCart,|,DICA! SE EU TIVER QUE ESCOLHER ENTRE*crACERTAR UM INIMIGO OU ACERTAR O CARRINHO*comma*crÉ MELHOR EU ACERTAR PRIMEIRO O CARRINHO.
goHint_foxTip1,|,AQUELAS RAPOSAS ADORAM SOCAR E CHUTAR!*crÉ MELHOR EU PRESTAR ATENÇÃO DE COMO ELES CHEGAM PRA PERTO DE MIM
goHint_tapLeftToAttackLeft,|,DICA! TOQUE NO LADO ESQUERDO DA TELA*crPARA ATACAR PARA A ESQUERDA
goHint_tapRightToAttackRight,|,DICA! TOQUE NO LADO DIREITO DA TELA*crPARA ATACAR PARA A DIREITA
goHint_tigerTip1,|,ESSE TIGRE MANDA BEM NOS*crATAQUES <AA>MÉDIOS<G>*comma <BB>BAIXOS<G> E <CC>ALTOS<G>...*crQUE SORTE QUE EU SOU BOM EM*cr<AA>SOCAR<G>*comma <BB>CHUTAR<G>*comma E <CC>ABAIXAR!!
goHint_run,|,DICA! TOQUE E SEGURE EM*crQUALQUER LUGAR PARA CORRER
goHint_runCont,|,DICA! SEGURE QUALQUER*crBOTÃO PARA CORRER
uCongratsDiff1,|,PARABÉNS!*crVOCÊ COMPLETOU TODAS AS FASES*crNO NÍVEL DE DIFICULDADE 1
uCongratsDiff2,|,DEMAIS!!*crVOCÊ COMPLETOU TODAS AS FASES*crNO NÍVEL DE DIFICULDADE 2
uCongratsDiff3,|,INCRÍVEL!!*crVOCÊ COMPLETOU TODAS AS FASES*crNO NÍVEL DE DIFICULDADE 3
ub1,|,OBRIGADO POR ME DESEMPACOTAR!!*crCOM MINHAS HABILIDADES DE NEGÓCIOS*comma AGORA VOCÊ IRÁ*crGANHAR O DOBRO DE MOEDAS DE INIMIGOS E ANÚNCIOS COM RECOMPENSAS!
ub2,|,OBRIGADO POR ME DESEMPACOTAR!!*crCOM MINHAS HABILIDADES DE NEGOCIAÇÃO*comma*crO NÚMERO DE MOEDAS NECESSÁRIAS PARA*crDESEMPACOTAR PERSONAGENS FOI CORTADO PELA METADE!
KnockKnock,|,OI*comma MEU CHAPA
You!,|,VOCÊ!!
Hello,|,OLÁ...
zzBoss,|,CHEFE!
zzBrother,|,IRMÃO!!
zzCousin,|,PRIMO!
zzFormerBusinessPartner,|,ANTIGO PARCEIRO DE NEGÓCIOS!
zzIDontKnow,|,EU NÃO SEI O QUE ESTÁ ACONTECENDO!
zzLongtimeNemesis,|,INIMIGO DE LONGA DATA!
zzMyMaker,|,MEU CRIADOR!
zzMyOldStudent,|,MEU ANTIGO ESTUDANTE!
zzOldFriend,|,MEU VELHO AMIGO!
zzSpecimen,|,ESPÉCIME 248
zzThief,|,LADRÃO!
zzUncle,|,TIO!
zzUsurper,|,USURPADOR!
zzWhoeverYouAre,|,SEJA QUEM FOR
zzInsuranceNeeds,|,EU GOSTARIA DE CONVERSAR SOBRE*crO SEU SEGURO
zzComplain,|,EU QUERO ABRIR UMA QUEIXA SOBRE*crO PLANEJAMENTO DESTE LUGAR
zzLostCar,|,NA VERDADE*comma SÓ ESTOU TENTANDO DESCOBRIR*crONDE DEIXEI O MEU CARRO
zzTrendJoiner,|,OUVI DIZER QUE TODO MUNDO TÁ*crPUXANDO BRIGA CONTIGO*comma AI PENSEI...*crNÉ*comma POR QUÊ NÃO?
zzTigerTamer,|,ELES ME CHAMAM DO DOMADOR DE TIGRES!
zzTeachManners,|,ESTOU AQUI PARA*crTE ENSINAR ALGUNS MODOS
zzPJs,|,É TRÊS DA TARDE E VOCÊ*crAINDA ESTÁ DE PIJAMAS?
zzTenBucks,|,TÔ AQUI PRA PEGAR OS*crDEZ PILA QUE VOCÊ ME DEVE
zzBetterDoors,|,VOCÊ PRECISA BOTAR UMAS*crPORTAS MELHORES NESSE LUGAR
zzTorchOut,|,SÓ QUERIA TE AVISAR QUE UMA DAS*crTOCHAS DA MASMORRA APAGOU
