TargetLanguage,|,ESPAÑOL
DuckBeatsPunch,|,<A>AGACHARTE <B>LE GANA A<C> PUÑETAZO
PunchAttackLeft,|,<A>PUÑETAZO <E>HACIA LA IZQUIERDA
KickAttackLeft,|,<A>PATADA <E>HACIA LA IZQUIERDA
DuckAttackLeft,|,<A>AGACHARTE <E>HACIA LA IZQUIERDA
PunchAttackRight,|,<A>PUÑETAZO <E>HACIA LA DERECHA
KickAttackRight,|,<A>PATADA <E>HACIA LA DERECHA
DuckAttackRight,|,<A>AGACHARTE <E>HACIA LA DERECHA
ScoreNumTip,|,ESTE NÚMERO TE INDICA TU PUNTUACIÓN EN EL NIVEL ACTUAL
ScoreMultiTip,|,ESTE CONTADOR MUESTRA LOS PUNTOS*crQUE RECIBES AL DERROTAR ENEMIGOS*cr*crAUMÉNTALO CORRIENDO O*crGOLPEANDO A LOS MALOS*cr*crSI NO*comma EL CONTADOR IRÁ BAJANDO*crPOCO A POCO HASTA 1
ScoreHeartTip,|,EL CORAZÓN TE DA UNA*crSEGUNDA OPORTUNIDAD*cr*crLO GASTARÁS CUANDO TE DERROTEN PERO*crPUEDES CONSEGUIR MÁS DERROTANDO*crA SUFICIENTES ENEMIGOS
ScoreCoinsTip,|,A VECES LOS MALOS DEJARÁN CAER MONEDAS*cr*crAQUÍ PODRÁS VER TODAS*crLAS MONEDAS QUE TENGAS
ScoreOptionsTip,|,¡CONSEJITO!*cr*crPUEDES CAMBIAR DE <HLY>DIFICULTAD<EHL>*crY AJUSTAR LOS CONTROLES TÁCTILES*crEN EL <HLG>MENÚ DE OPCIONES<EHL> <L>
LSandPTip,|,LO PUEDES JUGAR EN CUALQUIER ORIENTACIÓN DEL MÓVIL
Next,|,SIGUIENTE >
DemoPlay,|,- DEMO -
TapToExit,|,TOCA PARA SALIR
PressAnyButtonToExit,|,PULSA CUALQUIER BOTÓN PARA SALIR
BewareTheBear,|,¡OJO CON EL OSO!
NewScore,|,NUEVA PUNTUACIÓN
BestScore,|,MEJOR PUNTUACIÓN
NewBest,|,NUEVO RECORD
AllStagesTotal,|,SUMA DE TODOS LOS NIVELES
AllStagesNewTotal,|,NUEVA SUMA DE TODOS LOS NIVELES
TotalScore,|,PUNTUACIÓN TOTAL
NewTotal,|,¡¡NUEVA TOTAL!!
FinalScore,|,PUNTUACiÓN FINAL
StageTime,|,TIEMPO EN EL NIVEL
BestTime,|,MEJOR TIEMPO
NewBestTime,|,NUEVO MEJOR TIEMPO
EnemiesOutrun,|,> ENEMIGOS REBASADOS
OutrunBonus,|,+ BONO POR REBASAR
HeartBonus,|,+ BONO DE CORAZÓN
PlayStageAgain,|,JUGAR OTRA VEZ
Share,|,COMPARTIR
RateThisGame,|,VALORA   ESTE   JUEGO
Rate,|,¡CALIFICAR!
IScoredXOnStageY,|,¡HE SACADO ~X~ PUNTOS EN LA FASE ~Y~!
IDefeatedBaron,|,¡HE DERROTADO AL BARÓN TIGRISSO!
FinalBattle,|,BATALLA FINAL
Revive,|,REVIVIR
Skip,|,SALTAR
Tip,|,- CONSEJO -
TryAgain,|,VOLVERLO A INTENTAR
TryAgainQ,|,¿VOLVERLO A INTENTAR?
Victory,|,¡¡VICTORIA!!
VictoryLine2,|,HAS DERROTADO AL BARÓN TIGRISSO
WellDone,|,¡¡BIEN HECHO!!
PLAYER DIALOGUE,|,
KnockDownDoor,|,TENGO QUE ABRIR LA PUERTA
LetsGetOutOfHere,|,ME LAS PIRO
UhOh,|,AY NO
Bam!,|,¡BUM!
Yes!,|,¡MOLA!
MoreTrouble,|,¡SE AVECINAN PROBLEMAS!
AnotherCustomer,|,Y AQUÍ VIENE OTRO
SeeYouLater,|,¡VENGA HASTA LUEGO!
GoodNight,|,¡A MIMIR!
OneHit,|,¡DE UN GOLPE!
GettingTheHangOfThis,|,¡CREO QUE LE ESTOY*crPILLANDO EL TRUCO!
ThinkIGetIt,|,VALE*comma CREO QUE*crYA LO ENTIENDO
ImStrongerThanILook,|,¡SOY MUCHO MÁS FUERTE*crDE LO QUE PAREZCO!
Hmm,|,HMM…
NeitherOfUsWon,|,PUES NINGUNO*crHA GANADO*cr
ThatWasADraw,|,ESO HA SIDO EMPATE
AnotherDraw,|,Y OTRO EMPATE
ShouldFightBack,|,ME TOCA *crDEFENDERME
Ow,|,¡AY!
Nope,|,NOPE
ThatDidntWork,|,PUES NO HA FUNCIONADO
WhatABully,|,¡ERES UN MATÓN!
PretendThatDidntHappen,|,VOY A HACER COMO*crQUE ESO NO HA PASADO
WrongMove,|,MOVIMIENTO EQUIVOCADO
NeedToBeCloser,|,BUEN MOVIMIENTO*comma PERO*crTENGO QUE ESTAR MÁS CERCA
WouldHaveWorkedIfCloser,|,ESO HABRÍA FUNCIONADO*crSI ESTUVIESE MÁS CERCA
PunchVsDuck,|, <F>AGACHARTE<G> PARA ATACAR*crCONTRARRESTA MI <F>PUÑETAZO<G>
KickVsPunch,|,CREO QUE <F>AGACHARTE<G> ES*crLA MEJOR OPCIÓN EN ESTE CASO
DuckVsKick,|,ESA <F>PATADA<G> ME HA *crDERROTADO. CUIDADO AL <F>AGACHARTE<G>*cr
LetsGetSerious,|,VALE*comma Y AHORA VOY EN SERIO
EnoughTraining,|,VALE*comma HE CALENTADO LO SUFICIENTE*comma*cr¡AHORA VOY EN SERIO!
GuessIShouldHurry,|,CREO QUE TENGO QUE DARME MÁS PRISA
BetterKeepMoving,|,¡TENGO QUE MANTENER EL RITMO!
IdBetterHurry,|,¡TENGO QUE DARME PRISA!
IdBetterRun,|,¡TOCA CORRER!
GoingToHaveToRun,|,¡¡CREO QUE TOCA SALIR POR PATAS!
NotMuchTime,|,¡¡¡NO ME SOBRA EL TIEMPO!!!
LetsGo,|,¡VENGA*comma VENGA!
OKImGoing,|,VALE VALE*comma YA VOY
ThatWasEasy,|,¡PUES QUE FÁCIL!
ThatWasntTooHard,|,PUES ESO NO*crHA SIDO TAN DIFÍCIL
ThatWasClose,|,¡AY QUE CERCA!
TooSlowShaggy,|,¡ESTÁS MUY LENTO*comma GREÑOSO!
HowInconsiderate,|,QUE POCA CONSIDERACIÓN
goHint_bottleTip1,|,¡CONSEJITO! SI ESTOY ENTRE UN MALO Y UNA BOTELLA*comma*crCREO QUE SERÍA MEJOR ENCARGARME DE LA BOTElLA PRIMERO
goHint_bottleTip2,|,¡CONSEJITO! SI TENGO QUE ELEGIR ENTRE*crATACAR A UN MALO O ENCARGARME DE UNA BOTELLA*comma*crCREO QUE DEBERÍA ELEGIR LA BOTELLA
goHint_shouldHaveHitCart,|,¡CONSEJITO! SI TENGO QUE ELEGIR ENTRE*crGOLPEAR A UN MALO O UN CARRO*comma*crSERÍA MEJOR DARLE AL CARRO PRIMERO
goHint_foxTip1,|,¡A ESOS ZORROS LES ENCANTA DAR PUÑETAZOS Y PATADAS!*crTENGO QUE FIJARME EN COMO SE ACERCAN A MÍ
goHint_tapLeftToAttackLeft,|,¡CONSEJITO! TOCA EL LADO IZQUIERDO DE LA PANTALLA*crPARA ATACAR A LA IZQUIERDA
goHint_tapRightToAttackRight,|,¡CONSEJITO! TOCA EL LADO DERECHO DE LA PANTALLA *crPARA ATACAR A LA DERECHA
goHint_tigerTip1,|,A ESTE TIGRE SE LE DA BIEN*crATACAR POR EL <AA>MEDIO<G>*comma <BB>BAJO<G>*comma Y <CC>ALTO<G> …*cr¡¡POR SUERTE CONOZCO LA TÉCNICA DEL*cr<AA>PUÑETAZO<G>*comma <BB>PATADA<G>*comma Y <CC>AGACHARTE!!
goHint_run,|,¡CONSEJITO! TOCA Y MANTÉN PRESIONADO*crEN CUALQUIER LUGAR PARA CORRER
goHint_runCont,|,¡CONSEJITO! MANTÉN PULSADO*crCUALQUIER BOTÓN PARA CORRER
uCongratsDiff1,|,¡BIEN HECHO!*crTE HAS PASADO TODAS LAS FASES*crEN LA DIFICULTAD DE NIVEL 1
uCongratsDiff2,|,¡¡INCREÍBLE!!*crTE HAS PASADO TODAS LAS FASES*crEN LA DIFICULTAD DE NIVEL 2
uCongratsDiff3,|,¡¡IMPRESIONANTE!!*crTE HAS PASADO TODAS LAS FASES*crEN LA DIFICULTAD DE NIVEL 3*cr
ub1,|,¡¡GRACIAS POR DESEMPACARME!!*cr¡MI HABILIDAD PARA LOS NEGOCIOS HARÁ QUE CONSIGAS*crEL DOBLE DE MONEDAS AL DERROTAR MALOS Y VER ANUNCIOS!
ub2,|,¡¡GRACIAS POR DESEMPACARME!!*cr¡MI HABILIDAD PARA REGATEAR HACE QUE NECESITES*crLA MITAD DE MONEDAS PARA DESEMPACAR PERSONAJES!
KnockKnock,|,TOC TOC
You!,|,¡¡ERES TÚ!!
Hello,|,HOLA…
zzBoss,|,¡JEFE!
zzBrother,|,¡¡HERMANO!!
zzCousin,|,¡PRIMO!
zzFormerBusinessPartner,|,¡EX-COMPAÑERO DE NEGOCIOS!
zzIDontKnow,|,¡NO SÉ NI QUÉ ESTÁ PASANDO!
zzLongtimeNemesis,|,¡MI ARCHIENEMIGO!
zzMyMaker,|,¡MI CREADOR!
zzMyOldStudent,|,¡MI PUPILO!
zzOldFriend,|,¡VIEJO AMIGO!
zzSpecimen,|,ESPÉCIMEN 248
zzThief,|,¡LADRÓN!
zzUncle,|,¡TÍO!
zzUsurper,|,¡USURPADOR!
zzWhoeverYouAre,|,QUIEN SEAS
zzInsuranceNeeds,|,ME ENCANTARÍA HABLAR*crCONTIGO ACERCA DE TU POLIZA DE SEGUROS
zzComplain,|,VENGO A PONER UNA QUEJA*crPOR LA DISTRIBUCIÓN DE ESTE TUGURIO
zzLostCar,|,YO SÓLO HE VENIDO A VER SI ENCUENTRO*crDONDE HE DEJADO EL COCHE
zzTrendJoiner,|,PUES HABÍA VISTO A TODA LA PEÑA*crPELEANDO CONTIGO Y PENSÉ…*cr¿Y POR QUÉ NO ME APUNTO?
zzTigerTamer,|,¡ME LLAMAN EL DOMADOR DE TIGRES!
zzTeachManners,|,HE VENIDO A ENSEÑARTE MODALES
zzPJs,|,¿SON LAS TRES DE LA TARDE Y*crAÚN VAS EN PIJAMA?
zzTenBucks,|,HE VENIDO POR*crLOS DIEZ PAVOS QUE ME DEBES
zzBetterDoors,|, NECESITAS CAMBIAR*crLAS PUERTAS DE ESTE SITIO
zzTorchOut,|,SOLO VENÍA A DECIRTE QUE*crUNA DE LAS ANTORCHAS*crDE LA MAZMORRA SE HA APAGADO
