TargetLanguage,|,BAHASA INDONESIA
AllStagesNewTotal,|,TOTAL SEMUA TINGKAT BARU
TotalScore,|,SKOR TOTAL
NewTotal,|,TOTAL BARU!!
FinalScore,|,SKOR FINAL
StageTime,|,WAKTU TINGKAT
BestTime,|,WAKTU TERBAIK
NewBestTime,|,WAKTU TERBAIK BARU
EnemiesOutrun,|,> LOLOS DARI MUSUH
OutrunBonus,|,+ BONUS LOLOS
HeartBonus,|,+ BONUS HATI
PlayStageAgain,|,MAIN TINGKAT LAGI
Share,|,BAGIKAN
RateThisGame,|,BERI   RATING   UNTUK   GAME   INI
Rate,|,MENILAI!
IScoredXOnStageY,|,AKU MENDAPAT SKOR ~X~ DI TINGKAT ~Y~!
IDefeatedBaron,|,AKU MENGALAHKAN BARON TIGRISSO!
FinalBattle,|,PERTARUNGAN AKHIR
Revive,|,BANGKITKAN
Skip,|,LEWATI
Tip,|,- TIP -
TryAgain,|,COBA LAGI
TryAgainQ,|,COBA LAGI?
Victory,|,MENANG!!
VictoryLine2,|,KAMU TELAH MENGALAHKAN BARON TIGRISSO
WellDone,|,SELAMAT!!
PLAYER DIALOGUE,|,
KnockDownDoor,|,AKU HARUS MELEWATI PINTU INI
LetsGetOutOfHere,|,AYO KELUAR DARI SINI
UhOh,|,OH OH
Bam!,|,BAM!
Yes!,|,YES!
MoreTrouble,|,MASALAH LAGI!
AnotherCustomer,|,MUSUH LAIN
SeeYouLater,|,SAMPAI JUMPA!
GoodNight,|,SELAMAT TIDUR!
OneHit,|,SATU PUKULAN!
GettingTheHangOfThis,|,AKU MULAI*crMENGERTI!
ThinkIGetIt,|,OKE*comma RASANYA*crAKU MENGERTI
ImStrongerThanILook,|,AKU LEBIH KUAT*crDARI KELIHATANNYA!
Hmm,|,HMM…
NeitherOfUsWon,|,TIDAK ADA*crYANG MENANG
ThatWasADraw,|,TADI ADALAH SERI
AnotherDraw,|,SERI LAGI
ShouldFightBack,|,AKU HARUS*crMELAWAN BALIK
Ow,|,ADUH!!
Nope,|,TIDAK
ThatDidntWork,|,TIDAK MANJUR
WhatABully,|,DASAR PENGGERTAK!
PretendThatDidntHappen,|,PURA-PURA ITU*crNGGAK TERJADI
WrongMove,|,GERAKAN YANG SALAH
NeedToBeCloser,|,GERAKAN YANG TEPAT*comma TAPI*crAKU HARUS LEBIH DEKAT
WouldHaveWorkedIfCloser,|,AKAN MANJUR KALAU*crAKU LEBIH DEKAT
PunchVsDuck,|,SERANGAN <F>MENGHINDAR<G> ITU*crMENGALAHKAN <F>TINJU<G> KU
KickVsPunch,|,KURASA SERANGAN <F>MENGHINDAR<G>*crADALAH JAWABANNYA DI SINI
DuckVsKick,|,<F>TENDANG<G> ITU*crMENGALAHKAN SERANGAN <F>MENGHINDAR<G> KU
LetsGetSerious,|,OKE*comma AYO SERIUS!
EnoughTraining,|,OKE*comma CUKUP LATIHAN*crAYO COBA TINGKAT INI SUNGGUHAN!
GuessIShouldHurry,|,SEPERTINYA AKU HARUS BERGEGAS
BetterKeepMoving,|,LEBIH BAIK TERUS BERGERAK!
IdBetterHurry,|,AKU LEBIH BAIK BERGEGAS!
IdBetterRun,|,AKU LEBIH BAIK LARI!
GoingToHaveToRun,|,HARUS LARI!!
NotMuchTime,|,TIDAK BANYAK WAKTU!!
LetsGo,|,AYO PERGI!
OKImGoing,|,OKE OKE*comma AKU JALAN
ThatWasEasy,|,NAH ITU GAMPANG!
ThatWasntTooHard,|,TADI TIDAK*crTERLALU SULIT
ThatWasClose,|,HAMPIR SAJA!
TooSlowShaggy,|,TERLALU LAMBAT*comma GENDUT!
HowInconsiderate,|,NGGAK PENGERTIAN BANGET
goHint_bottleTip1,|,TIP! KALAU AKU TERJEBAK ANTARA MUSUH DAN BOTOL*comma*crAKU HARUS COBA MENGURUS BOTOLNYA LEBIH DULU
goHint_bottleTip2,|,TIP! KALAU AKU HARUS MEMILIH ANTARA*crMENYERANG MUSUH ATAU MENGURUS BOTOL*comma*crAKU HARUS MEMILIH BOTOL LEBIH DULU
goHint_shouldHaveHitCart,|,TIP! KALAU AKU HARUS MEMILIH ANTARA*crMENYERANG MUSUH ATAU MENGURUS TROLI*comma*crAKU HARUS MENGURUS TROLI LEBIH DULU
goHint_foxTip1,|,RUBAH-RUBAH ITU SUKA MENINJU DAN MENENDANG!*crAKU LEBIH BAIK WASPADA BAGAIMANA MEREKA MENDEKATIKU
goHint_tapLeftToAttackLeft,|,TIP! KETUK PADA SISI KIRI LAYAR*crUNTUK MENYERANG KE KIRI
goHint_tapRightToAttackRight,|,TIP! KETUK PADA SISI KANAN LAYAR*crUNTUK MENYERANG KE KANAN
goHint_tigerTip1,|,HARIMAU INI PANDAI DALAM*crSERANGAN <AA>TENGAH<G>*comma <BB>RENDAH<G>*comma DAN <CC>TINGGI<G>…*crUNTUNG AKU PANDAI DALAM*cr<AA>MENINJU<G>*comma <BB>MENENDANG<G>*comma DAN <CC>MENGHINDAR!!
goHint_run,|,TIP! SENTUH DAN TEKAN DI*crMANA SAJA UNTUK BERLARI
goHint_runCont,|,TIP! SENTUH DAN TEKAN*crUNTUK BERLARI
uCongratsDiff1,|,SELAMAT!*crKAMU TELAH MENYELESAIKAN SEMUA TINGKAT*crPADA KESULITAN TINGKAT 1
uCongratsDiff2,|,HEBAT!!*crKAMU TELAH MENYELESAIKAN SEMUA TINGKAT*crPADA KESULITAN TINGKAT 2
uCongratsDiff3,|,LUAR BIASA!!*crKAMU TELAH MENYELESAIKAN SEMUA TINGKAT*crPADA KESULITAN TINGKAT 3
ub1,|,TERIMA KASIH TELAH MEMBUKAKU!!*crKEMAMPUAN BISNISKU BERARTI KAMU AKAN MENDAPATKAN KOIN*crDUA KALI LEBIH BANYAK DARI MUSUH DAN IKLAN BERHADIAH!
ub2,|,TERIMA KASIH TELAH MEMBUKAKU!!*crKEMAMPUAN MENAWARKU BERARTI JUMLAH KOIN YANG*crDIPERLUKAN UNTUK MEMBUKA KARAKTER DIPOTONG SETENGAH!
KnockKnock,|,TOK TOK
You!,|,KAMU!!
Hello,|,HALO…
zzBoss,|,BOS!
zzBrother,|,KAKAK!!
zzCousin,|,SEPUPU!
zzFormerBusinessPartner,|,BEKAS REKAN BISNIS!
zzIDontKnow,|,AKU TIDAK TAHU APA YANG SEDANG TERJADI!
zzLongtimeNemesis,|,MUSUH BEBUYUTAN LAMA!
zzMyMaker,|,PENCIPTAKU!
zzMyOldStudent,|,MURID LAMAKU!
zzOldFriend,|,KAWAN LAMA!
zzSpecimen,|,SPESIMEN 248
zzThief,|,MALING!
zzUncle,|,PAMAN!
zzUsurper,|,PEREBUT!
zzWhoeverYouAre,|,SIAPAPUN KAMU
zzInsuranceNeeds,|,AKU INGIN BERBICARA PADAMU*crTENTANG KEBUTUHAN ASURANSIMU
zzComplain,|,AKU INGIN MENGAJUKAN KELUHAN*crTENTANG TATA LETAK TEMPAT INI
zzLostCar,|,SEBENARNYA*comma AKU HANYA*crMENCOBA MENEMUKAN DI MANA*crAKU MENINGGALKAN MOBILKU
zzTrendJoiner,|,KUDENGAR SEMUA ORANG*crBERTARUNG DENGANMU*comma*crJADI KUPIKIR…*crTENTU SAJA*comma KENAPA TIDAK?
zzTigerTamer,|,MEREKA MENYEBUTKU*crPENJINAK HARIMAU!
zzTeachManners,|,AKU DI SINI UNTUK*crMENGAJARIMU ATURAN
zzPJs,|,INI JAM TIGA SORE DAN*crKAMU MASIH PAKAI PIYAMA?
zzTenBucks,|,AKU DI SINI UNTUK*crHUTANG SEPULUH DOLARMU
zzBetterDoors,|,KAMU BENAR-BENAR BUTUH*crPINTU YANG LEBIH BAIK DI TEMPAT INI
zzTorchOut,|,HANYA INGIN MEMBERI TAHUMU*crKALAU SALAH SATU OBOR*crDI RUANG BAWAH TANAH MATI
