TargetLanguage,|,ENGLISH
RestoreFound,|,RESTORE SUCCESSFUL!
RestoreNoneFound,|,NO PREVIOUS PURCHASES FOUND
RestoreNoNew,|,PREVIOUS PURCHASES ALREADY UNLOCKED
Collection,|,COLLECTION:
Random,|,RANDOM 
IncludeInRandom,|,INCLUDE IN RANDOM 
NotEnoughCoins,|,NEED MORE COINS!
WatchAd,|,PLAY AD TO GET ~X~
WatchAdAlt,|,PLAY AD
WatchAdError,|,ERROR PLAYING AD
AdSkipped,|,AD DIDN’T FINISH
NotSignedIn,|,NOT SIGNED IN
Credits,|,CREDITS
SelectLevel,|,SELECT*crLEVEL
TuteON,|,TUTORIAL
Done(Exit),|,DONE
Close,|,CLOSE
OK,|,OK
CreditsLine1,|,DESIGN*comma PROGRAMMING*comma GRAPHICS*comma SOUND & MUSIC
CreditsLine2,|,EXECUTIVE PRODUCER
CreditsLine3,|,ADDITIONAL 3D MODELS
CreditsLine4,|,ADDITIONAL SOUND EFFECTS
CreditsLine5,|,SPECIAL THANKS
CreditsLine6,|,BIG THANKS TO THE TESTING CREW!
CreditsLine7,|,TRANSLATIONS
Contact,|,CONTACT
Off,|,OFF
UI - IN-GAME UI,|,
LevelXResult,|,LEVEL<X>RESULT
Level,|,LEVEL 
Result,|,RESULT
Paused,|,PAUSED
Continue,|,CONTINUE
Restart,|,RESTART
Quit,|,QUIT
QuitGame,|,QUIT GAME?
HideMenu,|,HIDE MENU
ShowMenu,|,TAP SCREEN TO SHOW MENU
ShowMenu_Cont,|,PRESS ANY BUTTON TO SHOW MENU
CombatTraining,|,- COMBAT TRAINING -
Punch,|,PUNCH
Kick,|,KICK
Duck(Low),|,DUCK
,|,
PunchTip,|,TOUCH HERE TO DO A *cr<D>PUNCH<E> ATTACK
KickTip,|,TOUCH HERE TO DO A *cr<D>KICK<E> ATTACK
DuckTip,|,TOUCH HERE TO DO A *cr<D>DUCK<E> ATTACK
SprintTip,|,WALKING IS AUTOMATIC*cr*crTOUCH AND HOLD ANYWHERE TO <D>RUN<E>
SprintTipGamepad,|,WALKING IS AUTOMATIC*cr*crHOLD ANY BUTTON TO <D>RUN<E>
SprintTouchTip,|,<K>TIP!<E>*crYOU CAN DRAG YOUR TOUCH TO A DIFFERENT SPOT WHILE RUNNING WITHOUT BREAKING YOUR <D>RUN<E> 
WalkTip,|,RUNNING IS AUTOMATIC*cr*crTOUCH AND HOLD ANYWHERE TO <D>WALK<E>
WalkTipGamepad,|,RUNNING IS AUTOMATIC*cr*crHOLD ANY BUTTON TO <D>WALK<E>
PunchBeatsKick,|,<A>PUNCH <B>BEATS<C> KICK
KickBeatsDuck,|,<A>KICK <B>BEATS<C> DUCK
DuckBeatsPunch,|,<A>DUCK <B>BEATS<C> PUNCH
PunchAttackLeft,|,<A>PUNCH <E>ATTACK LEFT
KickAttackLeft,|,<A>KICK <E>ATTACK LEFT
DuckAttackLeft,|,<A>DUCK <E>ATTACK LEFT
PunchAttackRight,|,<A>PUNCH <E>ATTACK RIGHT
KickAttackRight,|,<A>KICK <E>ATTACK RIGHT
DuckAttackRight,|,<A>DUCK <E>ATTACK RIGHT
ScoreNumTip,|,THIS NUMBER SHOWS YOUR SCORE FOR THE CURRENT LEVEL
ScoreMultiTip,|,THIS COUNTER SHOWS HOW MANY*crPOINTS YOU GET FOR BEATING FOES*cr*crINCREASE THE COUNTER BY*crHITTING FOES OR RUNNING*cr*crOTHERWISE THE COUNTER WILL*crSLOWLY FALL BACK TO 1
ScoreHeartTip,|,THE HEART GIVES YOU A SECOND CHANCE*cr*crIT IS USED WHEN YOU ARE KNOCKED DOWN*crBUT YOU CAN EARN IT AGAIN IF*crYOU DEFEAT ENOUGH FOES
ScoreCoinsTip,|,SOMETIMES FOES DROP COINS*cr*crYOUR TOTAL COINS ARE SHOWN HERE
ScoreOptionsTip,|,TIP!*cr*crYOU CAN CHANGE THE <HLY>DIFFICULTY<EHL>*crAND ADJUST THE TOUCH CONTROLS*crIN THE <HLG>OPTIONS MENU<EHL> <L>
LSandPTip,|,PLAYABLE IN LANDSCAPE AND PORTRAIT
Next,|,NEXT >
DemoPlay,|,- DEMO PLAY -
TapToExit,|,TAP TO EXIT
PressAnyButtonToExit,|,PRESS ANY BUTTON TO EXIT
BewareTheBear,|,BEWARE THE BEAR!!
NewScore,|,NEW SCORE
BestScore,|,BEST SCORE
NewBest,|,NEW BEST!
AllStagesTotal,|,ALL LEVELS TOTAL
AllStagesNewTotal,|,ALL LEVELS NEW TOTAL
TotalScore,|,TOTAL SCORE
NewTotal,|,NEW TOTAL!! 
FinalScore,|,FINAL SCORE
StageTime,|,LEVEL TIME
BestTime,|,BEST TIME
NewBestTime,|,NEW BEST TIME
EnemiesOutrun,|,> FOES OUTRUN
OutrunBonus,|,+ OUTRUN BONUS
HeartBonus,|,+ HEART BONUS
PlayStageAgain,|,PLAY LEVEL AGAIN
Share,|,SHARE
RateThisGame,|,RATE   THIS   GAME
Rate,|,RATE!
IScoredXOnStageY,|,I SCORED ~X~ ON LEVEL ~Y~!
IDefeatedBaron,|,I DEFEATED BARON TIGRISSO!
FinalBattle,|,FINAL BATTLE
Revive,|,REVIVE
Skip,|,SKIP
Tip,|,- TIP -
TryAgain,|,TRY AGAIN
TryAgainQ,|,TRY AGAIN?
Victory,|,VICTORY!!
VictoryLine2,|,YOU HAVE DEFEATED BARON TIGRISSO
WellDone,|,WELL DONE!!
PLAYER DIALOGUE,|,
KnockDownDoor,|,I NEED TO GET PAST THIS DOOR
LetsGetOutOfHere,|,LET'S GET OUT OF HERE
UhOh,|,UH OH
Bam!,|,BAM!
Yes!,|,YES!
MoreTrouble,|,MORE TROUBLE!
AnotherCustomer,|,ANOTHER CUSTOMER
SeeYouLater,|,SEE YOU LATER!
GoodNight,|,GOOD NIGHT!
OneHit,|,ONE HIT!
GettingTheHangOfThis,|,I'M GETTING THE*crHANG OF THIS!
ThinkIGetIt,|,OK*comma I THINK*crI GET IT
ImStrongerThanILook,|,I'M STRONGER*crTHAN I LOOK!
Hmm,|,HMM...
NeitherOfUsWon,|,NEITHER OF*crUS WON THAT
ThatWasADraw,|,THAT WAS A DRAW
AnotherDraw,|,ANOTHER DRAW
ShouldFightBack,|,I SHOULD*crFIGHT BACK
Ow,|,OW!!
Nope,|,NOPE
ThatDidntWork,|,THAT DIDN'T WORK
WhatABully,|,WHAT A BULLY!
PretendThatDidntHappen,|,PRETEND THAT*crDIDN'T HAPPEN
WrongMove,|,WRONG MOVE
NeedToBeCloser,|,RIGHT MOVE*comma BUT I*crNEED TO BE CLOSER
WouldHaveWorkedIfCloser,|,WOULD HAVE WORKED*crIF I WAS CLOSER
PunchVsDuck,|,THAT <F>DUCK<G> ATTACK*crBEATS MY <F>PUNCH<G>
KickVsPunch,|,I THINK A <F>DUCK<G> ATTACK*crIS THE ANSWER HERE
DuckVsKick,|,THAT <F>KICK<G>*crBEATS MY <F>DUCK<G> ATTACK
LetsGetSerious,|,OK*comma LET'S GET SERIOUS!
EnoughTraining,|,OK*comma ENOUGH TRAINING*crLET'S TRY THIS LEVEL FOR REAL!
GuessIShouldHurry,|,I GUESS I SHOULD HURRY
BetterKeepMoving,|,BETTER KEEP MOVING!
IdBetterHurry,|,I'D BETTER HURRY!
IdBetterRun,|,I'D BETTER RUN!
GoingToHaveToRun,|,GOING TO HAVE TO RUN!!
NotMuchTime,|,NOT MUCH TIME!!!
LetsGo,|,LET'S GO!
OKImGoing,|,OK OK*comma I'M GOING
ThatWasEasy,|,WELL THAT WAS EASY!
ThatWasntTooHard,|,THAT WASN'T*crTOO HARD
ThatWasClose,|,THAT WAS CLOSE!
TooSlowShaggy,|,TOO SLOW*comma SHAGGY!
HowInconsiderate,|,HOW INCONSIDERATE
goHint_bottleTip1,|,TIP! IF I'M CAUGHT BETWEEN A FOE AND A BOTTLE*comma*crI SHOULD TRY TO DEAL WITH THE BOTTLE FIRST
goHint_bottleTip2,|,TIP! IF I HAVE TO CHOOSE BETWEEN*crATTACKING A FOE OR DEALING WITH A BOTTLE*comma*crI SHOULD CHOOSE THE BOTTLE FIRST
goHint_shouldHaveHitCart,|,TIP! IF I HAVE TO CHOOSE BETWEEN*crHITTING A FOE OR HITTING A CART*comma*crI'D BETTER HIT THE CART FIRST
goHint_foxTip1,|,THOSE FOXES LIKE PUNCHING AND KICKING!*crI'D BETTER WATCH HOW THEY APPROACH ME
goHint_tapLeftToAttackLeft,|,TIP! TAP ON THE LEFT SIDE OF THE SCREEN*crTO ATTACK TO THE LEFT
goHint_tapRightToAttackRight,|,TIP! TAP ON THE RIGHT SIDE OF THE SCREEN*crTO ATTACK TO THE RIGHT
goHint_tigerTip1,|,THIS TIGER IS SKILLED AT*cr<AA>MID<G>*comma <BB>LOW<G>*comma AND <CC>HIGH<G> ATTACKS...*crLUCKY I'M GOOD AT*cr<AA>PUNCHING<G>*comma <BB>KICKING<G>*comma AND <CC>DUCKING!! *cr
goHint_run,|,TIP! YOU CAN RUN BY KEEPING YOUR*crTOUCH HELD DOWN AFTER DOING AN ATTACK
goHint_runCont,|,TIP! YOU CAN QUICKLY START RUNNING BY KEEPING*crTHE BUTTON HELD DOWN AFTER DOING AN ATTACK
uCongratsDiff1,|,WELL DONE!*crYOU HAVE BEATEN ALL LEVELS*crON DIFFICULTY LEVEL 1*cr
uCongratsDiff2,|,AMAZING!!*crYOU HAVE BEATEN ALL LEVELS*crON DIFFICULTY LEVEL 2*cr
uCongratsDiff3,|,INCREDIBLE!!*crYOU HAVE BEATEN ALL LEVELS*crON DIFFICULTY LEVEL 3*cr
ub1,|,THANK YOU FOR UNBOXING ME!!*crMY BUSINESS SKILLS MEANS YOU WILL NOW GET TWICE*crAS MANY COINS FROM FOES AND REWARDED ADS!
ub2,|,THANK YOU FOR UNBOXING ME!!*crMY BARGAINING SKILLS MEANS THE NUMBER OF COINS*crNEEDED TO UNBOX CHARACTERS HAS NOW BEEN HALVED!
KnockKnock,|,KNOCK KNOCK
You!,|,YOU!!
Hello,|,HELLO...
zzBoss,|,BOSS!
zzBrother,|,BROTHER!!
zzCousin,|,COUSIN!
zzFormerBusinessPartner,|,FORMER BUSINESS PARTNER!
zzIDontKnow,|,I DON'T KNOW WHAT'S GOING ON!
zzLongtimeNemesis,|,LONGTIME NEMESIS!
zzMyMaker,|,MY MAKER!
zzMyOldStudent,|,MY OLD STUDENT!
zzOldFriend,|,OLD FRIEND!
zzSpecimen,|,SPECIMEN 248
zzThief,|,THIEF!
zzUncle,|,UNCLE!
zzUsurper,|,USURPER!
zzWhoeverYouAre,|,WHOEVER YOU ARE
zzInsuranceNeeds,|,I'D LIKE TO TALK TO YOU ABOUT*crYOUR INSURANCE NEEDS
zzComplain,|,I WANT TO FILE A COMPLAINT*crABOUT THE LAYOUT OF THIS PLACE
zzLostCar,|,ACTUALLY*comma I’M JUST TRYING TO FIND*crWHERE I LEFT MY CAR
zzTrendJoiner,|,I HEARD EVERYONE’S BEEN FIGHTING YOU*comma*crSO I THOUGHT… SURE*comma WHY NOT?
zzTigerTamer,|,THEY CALL ME THE TIGER TAMER!
zzTeachManners,|,I’M HERE TO TEACH YOU SOME MANNERS
zzPJs,|,IT’S THREE IN THE AFTERNOON AND*crYOU’RE STILL IN YOUR PAJAMAS?
zzTenBucks,|,I’M HERE FOR THE TEN BUCKS YOU OWE ME
zzBetterDoors,|,YOU REALLY NEED*crBETTER DOORS IN THIS PLACE
zzTorchOut,|,JUST WANTED TO LET YOU KNOW*crTHAT ONE OF THE TORCHES*crIN THE DUNGEON HAS GONE OUT
