TargetLanguage,|,TÜRKÇE
Done(Exit),|,BİTTİ
Close,|,KAPAT
OK,|,TAMAM
CreditsLine1,|,TASARIM*comma PROGRAMLAMA*comma GRAFİKLER*comma SES & MÜZİK
CreditsLine2,|,BAŞ YAPIMCI
CreditsLine3,|,EK 3D MODELLER
CreditsLine4,|,EK SES EFEKTLERİ
CreditsLine5,|,ÖZEL TEŞEKKÜR
CreditsLine6,|,TEST EKİBİNE ÇOK TEŞEKKÜRLER!
CreditsLine7,|,ÇEVİRİLER
Contact,|,İLETİŞİM
Off,|,KAPAT
UI - IN-GAME UI,|,
LevelXResult,|,SEVİYE<X>SONUCU
Level,|,SEVİYE
Result,|,SONUÇ
Paused,|,DURAKLATILDI
Continue,|,DEVAM ET
Restart,|,BAŞTAN BAŞLAT
Quit,|,ÇIK
QuitGame,|,OYUNDAN ÇIKIŞ?
HideMenu,|,MENÜYÜ GİZLE
ShowMenu,|,MENÜYÜ GÖSTERMEK İÇİN EKRANA DOKUN
ShowMenu_Cont,|,MENÜYÜ GÖSTERMEK İÇİN HERHANGİ BİR TUŞA DOKUN
CombatTraining,|, - DÖVÜŞ EĞİTİMİ -
Punch,|,YUMRUK
Kick,|,TEKME
Duck(Low),|,YERDEN TEKME
,|,
PunchTip,|,BİR <D>YUMRUK<E> SALDIRISI *crYAPMAK İÇİN BURAYA DOKUN
KickTip,|,BİR <D>TEKME<E> SALDIRISI *crYAPMAK İÇİN BURAYA DOKUN
DuckTip,|,BİR <D>YERDEN TEKME<E> SALDIRISI *crYAPMAK İÇİN BURAYA DOKUN
SprintTip,|,OTOMATİK OLARAK YÜRÜR*cr*cr<D>KOŞMAK<E> İÇİN HERHANGİ BİR YERE DOKUN VE BASILI TUT
SprintTipGamepad,|,OTOMATİK OLARAK YÜRÜR*cr*cr<D>KOŞMAK<E> İÇİN HERHANGİ BİR TUŞA BASILI TUT
SprintTouchTip,|,<K>İPUCU!<E>*crKOŞARKEN DOKUNMATİK İŞARETÇİNİ FARKLI YERE SÜRÜKLEYEREK <D>KOŞMA<E> İŞLEMİNİ BOZMADAN DEVAM EDEBİLİRSİN
WalkTip,|,OTOMATİK OLARAK KOŞAR*cr*cr<D>YÜRÜMEK<E> İÇİN HERHANGİ BİR YERE DOKUN VE BASILI TUT
WalkTipGamepad,|,OTOMATİK OLARAK KOŞAR*cr*cr<D>YÜRÜMEK<E> İÇİN HERHANGİ BİR TUŞA BASILI TUT
PunchBeatsKick,|,<A>YUMRUK*comma <C>TEKMEYİ <B>YENER
KickBeatsDuck,|,<A>TEKME*comma <C>YERDEN TEKMEYİ <B>YENER
DuckBeatsPunch,|,<A>YERDEN TEKME*comma <C>YUMRUĞU <B>YENER
PunchAttackLeft,|,<A>YUMRUK <E>SALDIRISI SOL
KickAttackLeft,|,<A>TEKME <E>SALDIRISI SOL
DuckAttackLeft,|,<A>YERDEN TEKME <E>SALDIRISI SOL
PunchAttackRight,|,<A>YUMRUK <E>SALDIRISI SAĞ
KickAttackRight,|,<A>TEKME <E>SALDIRISI SAĞ
DuckAttackRight,|,<A>YERDEN TEKME <E>SALDIRISI SAĞ
ScoreNumTip,|,BU SAYI MEVCUT SEVİYE İÇİN*crSKORUNU GÖSTERİR
ScoreMultiTip,|,BU SAYAÇ DÜŞMANLARINI DÖVERKEN*crKAÇ PUAN ALACAĞINI GÖSTERİR*cr*crDÜŞMANLARINA VURARAK VEYA*crKOŞARAK SAYACI ARTTIR*cr*crYOKSA SAYAÇ YAVAŞÇA 1'E KADAR DÜŞER
ScoreHeartTip,|,KALP SANA İKİNCİ BİR ŞANS VERİR*cr*crBU KALBİ YENİLDİĞİNDE KULLANABİLİRSİN*comma*crAMA YETERLİ DÜŞMANI YENEREK*crTEKRAR KAZANABİLİRSİN
ScoreCoinsTip,|,BAZEN DÜŞMANLAR YERE PARA DÜŞÜRÜR*cr*crTOPLAM PARAN BURADA GÖSTERİLİR
ScoreOptionsTip,|,İPUCU!*cr*cr<HLG>SEÇENEKLER MENÜSÜNDEN<EHL> <L>*cr<HLY>ZORLUK SEVİYESİNİ<EHL> DEĞİŞTİREBİLİR*crVE DOKUNMATİK KONTROLLERİNİ*crAYARLAYABİLİRSİN
LSandPTip,|,DIKEY VE YATAY OLARAK OYNAYABILME
Next,|,SONRAKİ >
DemoPlay,|, - DEMO OYUN -
TapToExit,|,ÇIKMAK İÇİN DOKUN
PressAnyButtonToExit,|,ÇIKMAK İÇİN HERHANGİ BİR TUŞA BAS
BewareTheBear,|,AYIYA DİKKAT ET!!
NewScore,|,YENİ SKOR
BestScore,|,EN İYİ SKOR
NewBest,|,YENİ REKOR!
AllStagesTotal,|,TÜM SEVİYELERİN TOPLAMI
AllStagesNewTotal,|,TÜM SEVİYELERİN YENİ TOPLAMI
TotalScore,|,TOPLAM SKOR
NewTotal,|,YENİ TOPLAM!!
FinalScore,|,FİNAL SKOR
StageTime,|,SEVİYE SÜRESİ
BestTime,|,EN İYİ SÜRE
NewBestTime,|,YENİ REKOR SÜRE
EnemiesOutrun,|,> ARKADA BIRAKILAN DÜŞMANLAR
OutrunBonus,|,+ ARKADA BIRAKMA BONUSU
HeartBonus,|,+ KALP BONUSU
PlayStageAgain,|,SEVİYEYİ TEKRAR OYNA
Share,|,PAYLAŞ
RateThisGame,|,BU   OYUNA   PUAN   VERIN
Rate,|,PUANLAMAK!
IScoredXOnStageY,|,~Y~. SEVİYEDE ~X~ SKOR YAPTIM
IDefeatedBaron,|,BARON KAPLANO'YU YENDİM!
FinalBattle,|,FİNAL DÖVÜŞÜ
Revive,|,CANLAN
Skip,|,GEÇ
Tip,|, - İPUCU -
TryAgain,|,TEKRAR DENE
TryAgainQ,|,TEKRAR DENEYİN?
Victory,|,ZAFER!!
VictoryLine2,|,BARON KAPLANO'YU YENDİN
WellDone,|,AFERİN!!
PLAYER DIALOGUE,|,
KnockDownDoor,|,BU KAPIYI GEÇMEM LAZIM
LetsGetOutOfHere,|,HADİ ÇIKALIM BURADAN
UhOh,|,HAYDA
Bam!,|,BAM!
Yes!,|,İŞTE BU!
MoreTrouble,|,BİR BELA DAHA!
AnotherCustomer,|,YENİ MÜŞTERİ
SeeYouLater,|,HADİ GÖRÜŞÜRÜZ!
GoodNight,|,İYİ GECELER!
OneHit,|,TEK ATTIM!
GettingTheHangOfThis,|,ELİM YAVAŞTAN*crALIŞIYOR HA!
ThinkIGetIt,|,TAMAM*comma *crGALİBA ANLADIM
ImStrongerThanILook,|,GÖRÜNDÜĞÜMDEN*crDAHA GÜÇLÜYÜM!
Hmm,|,HMM…
NeitherOfUsWon,|,İKİMİZ DE*crKAZANAMADIK
ThatWasADraw,|,BERABERE KALDIK
AnotherDraw,|,BİR BERABERE DAHA
ShouldFightBack,|,KARŞILIK *crVERMELİYİM
Ow,|,AAGH!
Nope,|,AH BE
ThatDidntWork,|,BU İŞE YARAMADI
WhatABully,|,BURANIN MUHTARI*crSEN MİSİN?!
PretendThatDidntHappen,|,BU OLMAMIŞ *crGİBİ DAVRANACAĞIM
WrongMove,|,BU OLMADI
NeedToBeCloser,|,ŞİMDİ OLDU*comma AMA*crBİRAZ YAKLAŞMAM LAZIM
WouldHaveWorkedIfCloser,|,YAKIN OLSAM*crVURACAKTIM YA
PunchVsDuck,|,ŞU <F>YERDEN TEKME<G> SALDIRISI*cr<F>YUMRUK<G> SALDIRIMI YENİYOR
KickVsPunch,|,GALİBA BURADA <F>YERDEN TEKME<G> *crSALDIRISI YAPSAM İYİ OLACAK
DuckVsKick,|,ŞU <F>TEKME<G> SALDIRISI*cr<F>YERDEN TEKME<G> SALDIRIMI YENİYOR
LetsGetSerious,|,TAMAM*comma CİDDİLEŞME VAKTİ!
EnoughTraining,|,BU KADAR ANTRENMAN YETER*crŞİMDİ PRATİĞE DÖKME VAKTİ!
GuessIShouldHurry,|,ACELE ETMEM LAZIM
BetterKeepMoving,|,ACELE ETSEM İYİ OLACAK!
IdBetterHurry,|,BİRAZ ACELE ETMELİYİM
IdBetterRun,|,KOŞSAM İYİ OLACAK!
GoingToHaveToRun,|,KOŞMAM GEREKECEK!!
NotMuchTime,|,FAZLA VAKTİM KALMADI!!!
LetsGo,|,GİDELİM!
OKImGoing,|,TAMAM*comma GİDİYORUM
ThatWasEasy,|,BU KOLAY OLDU!
ThatWasntTooHard,|,BU ÇOK ZOR OLMADI
ThatWasClose,|,PAÇAYI ZOR KURTARDIM!
TooSlowShaggy,|,ÇOK YAVAŞSIN *crPOFUDUK ŞEY!
HowInconsiderate,|,MÜNASEBETSİZ
goHint_bottleTip1,|,İPUCU! EĞER BİR DÜŞMAN VE ŞİŞE ARASINDA KALIRSAM*comma*crÖNCE ŞİŞEYLE İLGİLENMEYE ÇALIŞMALIYIM
goHint_bottleTip2,|,İPUCU! EĞER DÜŞMANA SALDIRMA VEYA *crŞİŞEYLE İLGİLENME ARASINDA SEÇİM YAPMAM *crGEREKİRSE*comma ÖNCE ŞİŞEYİ SEÇMELİYİM
goHint_shouldHaveHitCart,|,İPUCU! EĞER BİR DÜŞMANA VEYA BİR EL ARABASINA *crVURMAK ARASINDA SEÇİM YAPMAM GEREKİRSE*comma *crÖNCE EL ARABASINA VURSAM İY İOLUR
goHint_foxTip1,|,ŞU TİLKİLER YUMRUK VE TEKME ATMAYI SEVİYOR! *crBANA NE ŞEKİLDE YAKLAŞACAKLARINA DİKKAT ETMELİYİM
goHint_tapLeftToAttackLeft,|,İPUCU! SOLDAN SALDIRMAK İÇİN*crEKRANIN SOL TARAFINA DOKUN
goHint_tapRightToAttackRight,|,İPUCU! SAĞDAN SALDIRMAK İÇİN*crEKRANIN SAĞ TARAFINA DOKUN
goHint_tigerTip1,|,BU KAPLAN*cr<AA>ORTA<G>*comma <BB>ALÇAK<G>*comma VE <CC>YÜKSEK<G> SALDIRILARDA YETENEKLİ...*crNEYSE Kİ BEN DE*cr<AA>YUMRUK<G>*comma <BB>TEKME<G>*comma VE <CC>YERDEN TEKME<G> ATMAKTA YETENEKLİYİM!! *cr
goHint_run,|,İPUCU! KOŞMAK İÇİN HERHANGİ*crBİR YERE DOKUN VE BASILI TUT
goHint_runCont,|,İPUCU! KOŞMAK İÇİN*crHERHANGİ BİR TUŞA BASILI TUT
uCongratsDiff1,|,AFERİN!*cr1. ZORLUK SEVİYESİNDE*crTÜM SEVİYELERİ TAMAMLADIN
uCongratsDiff2,|,HARİKA!!*cr2. ZORLUK SEVİYESİNDE*crTÜM SEVİYELERİ TAMAMLADIN
uCongratsDiff3,|,İNANILMAZ!!*cr3. ZORLUK SEVİYESİNDE*crTÜM SEVİYELERİ TAMAMLADIN
ub1,|,BENİ KUTUDAN ÇIKARDIĞIN İÇİN TEŞEKKÜRLER!!*crİŞ YETENEKLERİM SAYESİNDE*comma ARTIK DÜŞMANLARDAN *crVE ÖDÜLLÜ REKLAMLARDAN İKİ KATI PARA KAZANACAKSIN!
ub2,|,BENİ KUTUDAN ÇIKARDIĞIN İÇİN TEŞEKKÜRLER!!*crPAZARLIK YETENEĞİM SAYESİNDE*comma KARAKTER KUTUSU *crAÇMAK İÇİN ÖDEMEN GEREKEN MALİYET ARTIK YARIYA İNDİ!
KnockKnock,|,TIK TIK
You!,|,SEN!!!
Hello,|,MERHABA…
zzBoss,|,PATRON!
zzBrother,|,ABİ!
zzCousin,|,KUZEN!
zzFormerBusinessPartner,|,ESKİ ORTAK!
zzIDontKnow,|,NELER OLUYOR ANLAMIYORUM!
zzLongtimeNemesis,|,EZELİ DÜŞMANIM!
zzMyMaker,|,YARATICIM!
zzMyOldStudent,|,ESKİ ÖĞRENCİM!
zzOldFriend,|,ESKİ DOSTUM!
zzSpecimen,|,NUMUNE 248
zzThief,|,HIRSIZ!
zzUncle,|,AMCA!
zzUsurper,|,HİLEKAR!
zzWhoeverYouAre,|,ARTIK HER KİMSEN
zzInsuranceNeeds,|,SİGORTA İHTİYAÇLARINLA ALAKALI *crSENİNLE KONUŞMAK İSTİYORUM
zzComplain,|,BURANIN TASARIMIYLA İLGİLİ *crBİR ŞİKAYETTE BULUNMAK İSTİYORUM
zzLostCar,|,ASLINDA SADECE ARABAMI NEREYE *crBIRAKTIĞIMI BULMAYA ÇALIŞIYORUM
zzTrendJoiner,|,HERKESİN SENİNLE DÖVÜŞTÜĞÜNÜ DUYDUM*comma*crYANİ BEN DE… NEDEN OLMASIN DEDİM?
zzTigerTamer,|,BANA KAPLAN TERBİYECİSİ DERLER!
zzTeachManners,|,SANA TERBİYE ÖĞRETMEYE GELDİM
zzPJs,|,SAAT ÖĞLEN 3 OLMUŞ*comma *crSEN HALA PİJAMALARINLA MISIN?
zzTenBucks,|,BANA BORCUN OLAN*cr10 LİRAYI ALMAK İÇİN GELDİM
zzBetterDoors,|,BURAYA DAHA SAĞLAM BİR*crKAPI FALAN YAPTIR BENCE
zzTorchOut,|,ZİNDANDAKİ MEŞALELERDEN BİRİNİN *crSÖNDÜĞÜNÜ SÖYLEYEYİM DEDİM
