TargetLanguage,|,FRANÇAIS
UnboxSpecial2,|,LOOTER CE PERSONNAGE DIVISERA PAR DEUX LE COÛT DE TOUS LES PERSONNAGES POUVANT ÊTRE LOOTÉS AVEC DES PIÈCES DU JEU
PurchaseFailed,|,ACHAT NON EFFCTUÉ
RemoveAds,|,ENLEVER   LES   PUBS !
RemoveAdsInfo,|,ENLEVER LES PUBS*cr*crENLÈVE LES POP-UP DES PUBS ET AJOUTE L'OPTION DE DÉSACTIVER LES PUBS AUX RÉCOMPENSES
AdsRemoved,|,POP-UP DES PUBS ENLEVÉES !*cr*crVOUS POUVEZ AUSSI CHOISIR D'ACTIVER OU DE DÉSACTIVER LES PUBS AUX RÉCOMPENSES DANS LES OPTIONS <L>*cr*crMERCI DE VOTRE SUPPORT !
RestorePurchases,|,RESTAURER LES ACHATS
Checking,|,VÉRIFICATION…
RequestTimedOut,|,VÉRIFICATION ÉCHOUÉE
RestoreFailed,|,IMPOSSIBLE DE SE CONNECTER AU STORE
RestoreFound,|,RESTAURATION RÉUSSIE !
RestoreNoneFound,|,AUCUN ACHAT ANTÉRIEUR TROUVÉ
RestoreNoNew,|,ACHATS ANTÉRIEURS DÉJÀ TROUVÉS
Collection,|,COLLECTION :
Random,|,ALÉATOIRE
IncludeInRandom,|,INCLU DANS L'ALÉATOIRE
NotEnoughCoins,|,BESOIN DE PLUS DE PIÈCES !!
WatchAd,|,LANCER UNE PUB POUR AVOIR ~X~
WatchAdAlt,|,VOIR UNE PUB
WatchAdError,|,ERREUR LORS DE LA PUB
AdSkipped,|,PUB NON FINIE
NotSignedIn,|,VOUS N'ÊTES PAS CONNECTÉ
Credits,|,CRÉDITS
SelectLevel,|,CHOISIR UN*crNIVEAU
TuteON,|,TUTORIEL
Done(Exit),|,OK
Close,|,FERMER
OK,|,OK
CreditsLine1,|,DESIGN*comma PROGRAMMATION*comma GRAPHISMES*comma SONS ET MUSIQUE
CreditsLine2,|,PRODUCTEUR EXÉCUTIF
CreditsLine3,|,MODÈLES 3D ADDITIONNELS
CreditsLine4,|,EFFETS SONORES ADDITIONNELS
CreditsLine5,|,REMERCIEMENTS
CreditsLine6,|,MERCI AUX TESTEURS !
CreditsLine7,|,TRADUCTIONS
Contact,|,CONTACT
Off,|,OFF
UI - IN-GAME UI,|,
LevelXResult,|,RÉSULTATS NIVEAU<X>
Level,|,NIVEAU
Result,|,RÉSULTATS
Paused,|,PAUSE
Continue,|,CONTINUER
Restart,|,RECOMMENCER
Quit,|,QUITTER
QuitGame,|,QUITTER LE JEU ?
HideMenu,|,CACHER LE MENU
ShowMenu,|,APPUI ÉCRAN POUR MONTRER LE MENU
ShowMenu_Cont,|,APPUYER SUR UN BOUTON POUR MONTRER LE MENU
CombatTraining,|,- ENTRAINEMENT AU COMBAT -*cr
Punch,|,TAPER
Kick,|,KICKER
Duck(Low),|,BALAYER
,|,
PunchTip,|,APPUYEZ ICI POUR*cr<D>TAPER<E>
KickTip,|,APPUYEZ ICI POUR*cr<D>KICKER<E>
DuckTip,|,APPUYEZ ICI POUR*cr<D>BALAYER<E>
SprintTip,|,LA MARCHE EST AUTOMATIQUE*cr*crTAPER ET MAINTENIR N'IMPORTE OU POUR <D>COURIR<E>
SprintTipGamepad,|,LA MARCHE EST AUTOMATIQUE*cr*crMAINTENIR UN BOUTON POUR <D>COURIR<E>
SprintTouchTip,|,<K>ASTUCE !<E>*crVOUS POUVEZ CHANGER D'ENDROIT A MAINTENIR EN PLEINE COURSE SANS STOPPER VOTRE <D>COURSE<E>
WalkTip,|,LA COURSE EST AUTOMATIQUE*cr*crTAPER ET MAINTENIR N'IMPORTE OU POUR <D>MARCHER<E>
WalkTipGamepad,|,LA COURSE EST AUTOMATIQUE*cr*crMAINTENIR UN BOUTON POUR <D>MARCHER<E>
PunchBeatsKick,|,<A>TAPER <B>BAT<C> KICKER
KickBeatsDuck,|,<A>KICKER <B>BAT<C> BALAYER
DuckBeatsPunch,|,<A>BALAYER <B>BAT<C> TAPER
PunchAttackLeft,|,<A>TAPER <E>ATTAQUE GAUCHE
KickAttackLeft,|,<A>KICKER <E>ATTAQUE GAUCHE
DuckAttackLeft,|,<A>BALAYER <E>ATTAQUE GAUCHE
PunchAttackRight,|,<A>TAPER <E>ATTAQUE DROITE
KickAttackRight,|,<A>KICKER <E>ATTAQUE DROITE
DuckAttackRight,|,<A>BALAYER <E>ATTAQUE DROITE
ScoreNumTip,|,CE NOMBRE INDIQUE VOTRE SCORE*crPOUR CE NIVEAU
ScoreMultiTip,|,CE COMPTEUR MONTRE COMBIEN DE POINTS*crONT ÉTÉ OBTENUS EN BATTANT LES ENNEMIS*cr*crAUGEMENTEZ CE SCORE EN TAPANT*crDES ENNEMIS OU EN COURANT*cr*crAUTREMENT*comma LE COMPTEUR*crTOMBERA LENTEMENT A 1
ScoreHeartTip,|,LE CŒUR VOUS DONNE UNE*crDEUXIÈME CHANCE*cr*crIL EST CONSOMMÉ LORSQUE VOUS ÊTES*crÉVANOUI*comma MAIS EST OBTENABLE À NOUVEAU*crEN BATTANT ASSEZ D’ENNEMIS
ScoreCoinsTip,|,LES ENNEMIS LÂCHENT PARFOIS DES PIÈCES*cr*crVOTRE NOMBRE TOTAL DE PIÈCES EST ICI
ScoreOptionsTip,|,ASTUCE !*cr*crVOUS POUVEZ CHANGER LA <HLY>DIFFICULTÉ<EHL>*crET AJUSTER LES CONTRÔLES*crDANS LES <HLG>OPTIONS<EHL> <L>
LSandPTip,|,JOUABLE EN MODE PORTRAIT ET PAYSAGE
Next,|,PROCHAIN >
DemoPlay,|,- DÉMONSTRATION -
TapToExit,|,TAPPER POUR QUITTER
PressAnyButtonToExit,|,APPUYER SUR UN BOUTON POUR QUITTER
BewareTheBear,|,ATTENTION A L'OURS !!
NewScore,|,NOUVEAU SCORE
BestScore,|,MEILLEUR SCORE
NewBest,|,NOUVEAU RECORD !
AllStagesTotal,|,TOTAL DES NIVEAUX
AllStagesNewTotal,|,NOUVEAU TOTAL DES NIVEAUX
TotalScore,|,SCORE TOTAL
NewTotal,|,NOUVEAU TOTAL !!
FinalScore,|,SCORE FINAL !
StageTime,|,TEMPS NIVEAU
BestTime,|,MEILLEUR TEMPS
NewBestTime,|,NOUVEAU MEILLEUR TEMPS
EnemiesOutrun,|,> ENNEMIS ÉVITÉS
OutrunBonus,|,+ BONUS D'ESQUIVE
HeartBonus,|,+ BONUS CŒUR
PlayStageAgain,|,REJOUER LE NIVEAU
Share,|,PARTAGER
RateThisGame,|,ÉVALUEZ   CE   JEU
Rate,|,ÉVALUER !
IScoredXOnStageY,|,J'AI FAIT UN SCORE DE ~X~ SUR LE NIVEAU ~Y~ !
IDefeatedBaron,|,J'AI BATTU LE BARON TIGROUSSI
FinalBattle,|,COMBAT FINAL
Revive,|,REVIVRE
Skip,|,PASSER
Tip,|,- ASTUCE -
TryAgain,|,RÉESSAYER
TryAgainQ,|,RÉESSAYER?
Victory,|,VICTOIRE !!
VictoryLine2,|,VOUS AVEZ BATTU LE BARON TIGROUSSI
WellDone,|,BIEN JOUÉ
PLAYER DIALOGUE,|,
KnockDownDoor,|,JE DOIS PASSER CETTE PORTE
LetsGetOutOfHere,|,SORTONS D'ICI
UhOh,|,OH OH…
Bam!,|,BOOM !
Yes!,|,YEAH !
MoreTrouble,|,ALERTE !
AnotherCustomer,|,ENCORE DU TRAVAIL ?
SeeYouLater,|,A PLUS TARD !
GoodNight,|,BONNE NUIT !
OneHit,|,PAF ! 
GettingTheHangOfThis,|,JE PENSE QUE*crJ'AI COMPRIS
ThinkIGetIt,|,OK*comma J'AI LE*crCOUP DE MAIN
ImStrongerThanILook,|,JE SUIS PLUS PUISSANT*crQUE J'EN AI L'AIR
Hmm,|,HMM…
NeitherOfUsWon,|,AUCUN DE NOUS*crN'A GAGNÉ
ThatWasADraw,|,C'ÉTAIT UN MATCH NUL
AnotherDraw,|,UN AUTRE MATCH NUL
ShouldFightBack,|,JE DEVRAIS*crRIPOSTER
Ow,|,OUCH !!
Nope,|,NOPE
ThatDidntWork,|,CA N'A PAS MARCHÉ
WhatABully,|,OUCH*comma CA FAIT MAL !
PretendThatDidntHappen,|,FAISONS COMME SI*crRIEN NE S'ÉTAIT PASSÉ
WrongMove,|,MAUVAISE DÉCISION
NeedToBeCloser,|,BON CHOIX*comma MAIS*crJE DOIS ME RAPPROCHER
WouldHaveWorkedIfCloser,|,CA AURAIT MARCHÉ SI*crJE M'ÉTAIS RAPPROCHÉ
PunchVsDuck,|,CE <F>BALAYAGE<G>*crBAT MON <F>TAPER<G>
KickVsPunch,|,JE PENSE QU'UN <F>BALAYAGE<G>*crEST LA SOLUTION ICI*cr
DuckVsKick,|,CE <F>KICK<G>*crBAT MON <F>BALAYAGE<G>
LetsGetSerious,|,OK*comma C'EST L'HEURE
EnoughTraining,|,OK*comma ASSEZ ENTRAINÉ*comma*crESSAYONS CE NIVEAU POUR DE VRAI !
GuessIShouldHurry,|,JE DEVRAIS ME DÉPÊCHER
BetterKeepMoving,|,PAS LE TEMPS DE NIAISER !
IdBetterHurry,|,JE DOIS ME BOUGER !
IdBetterRun,|,JE DEVRAIS COURIR !
GoingToHaveToRun,|,C'EST L'HEURE DE COURIR !
NotMuchTime,|,IL EST TEMPS !
LetsGo,|,ALLONS-Y !
OKImGoing,|,OK*comma OK*comma J'Y VAIS
ThatWasEasy,|,C'ÉTAIT FACILE
ThatWasntTooHard,|,C'ÉTAIT PAS SI*crCOMPLIQUÉ
ThatWasClose,|,C'EST PAS PASSÉ LOIN !
TooSlowShaggy,|,T'EST LENTE*comma LA BOULE DE POILS
HowInconsiderate,|,COMMENT ?
goHint_bottleTip1,|,ASTUCE ! SI JE SUIS BLOQUÉ ENTRE UN ENNEMI ET UNE BOUTEILLE*comma*crJE DEVRAIS M'OCCUPER DE LA BOUTEILLE D'ABORD
goHint_bottleTip2,|,ASTUCE ! SI J'AI LE CHOIX*crENTRE UN ENNEMI ET UNE BOUTEILLE*comma*crJE DEVRAIS FONCER VERS LA BOUTEILLE EN PREMIER
goHint_shouldHaveHitCart,|,ASTUCE ! SI JE DOIS CHOISIR ENTRE*crME FAIRE TOUCHER PAR UN ENNEMI OU UN CHARIOT*crJE CHOISIRAI LE CHARIOT
goHint_foxTip1,|,CES RENARDS AIMENT BIEN TAPER ET KICKER*crJE DEVRAIS BIEN LES OBSERVER
goHint_tapLeftToAttackLeft,|,ASTUCE ! TAPER SUR LA PARTIE GAUCHE DE L'ÉCRAN*crPOUR TAPER A GAUCHE
goHint_tapRightToAttackRight,|,ASTUCE ! TAPER SUR LA PARTIE DROITE DE L'ÉCRAN*crPOUR TAPER A DROITE
goHint_tigerTip1,|,CE TIGRE EST FORT POUR LES*crATTAQUES <AA>BASSES<G>*comma <BB>MOYENNES<G>*comma ET <CC>HAUTES<G>…*crHEUREUSEMENT QUE JE MAITRISE LE*cr<AA>TAPER<G>*comma <BB>KICKER<G>*comma <CC>BALAYER !!
goHint_run,|,ASTUCE ! TAPER ET MAINTENIR*crN'IMPORTE OU POUR COURIR
goHint_runCont,|,ASTUCE ! MAINTENIR UN*crBOUTON POUR COURIR
uCongratsDiff1,|,BIEN JOUÉ !*crTU AS BATTU TOUS LES NIVEAUX*crEN DIFFICULTÉ 1
uCongratsDiff2,|,SUPERBE !*crTU AS BATTU TOUS LES NIVEAUX*crEN DIFFICULTÉ 2
uCongratsDiff3,|,INCROYABLE !*crTU AS BATTU TOUS LES NIVEAUX*crEN DIFFICULTÉ 3
ub1,|,MERCI DE M'AVOIR DÉBLOQUÉ !*crMES COMPÉTENCES EN MARKETING FONT QUE TU GAGNERA*crDEUX FOIS PLUS DE PIÈCES DES ENNEMIS ET PUBS AUX RÉCOMPENSES !
ub2,|,MERCI DE M'AVOIR DÉBLOQUÉ !*crMES TALENTS DE NÉGOTIATEUR FONT QUE LES PIÈCES*crREQUISES POUR LOOTER DES PERSONAGES ONT ÉTÉS DIVISÉES PAR DEUX !
KnockKnock,|,TOC TOC TOC
You!,|,TOI !!
Hello,|,SALUT !
zzBoss,|,MON PATRON !
zzBrother,|,MON FRÈRE !
zzCousin,|,MON COUSIN !
zzFormerBusinessPartner,|,ANCIEN ASSOCIÉ !
zzIDontKnow,|,QUE SE PASSE-T-IL ?!
zzLongtimeNemesis,|,MON NEMESIS !
zzMyMaker,|,MON CRÉATEUR !
zzMyOldStudent,|,MON ANCIEN ÉLÈVE !
zzOldFriend,|,MON VIEL AMI !
zzSpecimen,|,SPÉCIMEN 248
zzThief,|,VOLEUR !
zzUncle,|,MON ONCLE !
zzUsurper,|,URSURPEUR !
zzWhoeverYouAre,|,QUI QUE TU SOIT !
zzInsuranceNeeds,|,JE DOIS VOUS PARLER*crA PROPOS DE VOTRE ASSURANCE
zzComplain,|,JE VEUX DÉPOSER PLAINTE*crA PROPOS DE L'AGENCEMENT DE CET ENDROIT
zzLostCar,|,JE CHERCHE SEULEMENT*crOU J'AI GARÉ MA VOITURE
zzTrendJoiner,|,J'AI ENTENDU DIRE QUE TOUT LE MONDE*crSE BATTAIT CONTRE VOUS*comma ALORS J'AI PENSÉ...*crHÉ*comma JE DEVRAIS LE FAIRE AUSSI !
zzTigerTamer,|,ON M'APPELLE LE DOMPTEUR DE TIGRES
zzTeachManners,|,J'VAIS T'APPRENDRE*crLES BONNES MANIÈRES
zzPJs,|,IL EST QUINZE HEURE*comma*crET T'ES TOUJOURS EN PIJAMA ?
zzTenBucks,|,J'CROIS QUE TU ME DOIS 10 BALLES
zzBetterDoors,|,IL FAUT VRAIMENT REFAIRE*crLES PORTES ICI
zzTorchOut,|,JUSTE AU CAS OU*comma*crUNE DES TORCHES A DISPARU
