TargetLanguage,|,РУССКИЙ
Off,|,ВЫКЛЮЧЕНО
UI - IN-GAME UI,|,
LevelXResult,|,РЕЗУЛЬТАТ<X>УРОВНЯ
Level,|,УРОВЕНЬ 
Result,|,РЕЗУЛЬТАТ
Paused,|,НА ПАУЗЕ
Continue,|,ПРОДОЛЖИТЬ
Restart,|,ПЕРЕЗАПУСК
Quit,|,ВЫЙТИ
QuitGame,|,ВЫЙТИ ИЗ ИГРЫ?
HideMenu,|,СКРЫТЬ МЕНЮ
ShowMenu,|,КОСНИТЕСЬ ЭКРАНА*comma ЧТОБЫ ОТОБРАЗИТЬ МЕНЮ
ShowMenu_Cont,|,НАЖМИТЕ ЛЮБУЮ КНОПКУ*comma ЧТОБЫ ОТОБРАЗИТЬ МЕНЮ
CombatTraining,|,- БОЕВАЯ ПОДГОТОВКА -
Punch,|,УДАР КУЛАКОМ
Kick,|,ПИНОК
Duck(Low),|,НИЖНИЙ УДАР
,|,
PunchTip,|,НАЖМИТЕ ЗДЕСЬ*comma ЧТОБЫ ВЫПОЛНИТЬ *cr<D>УДАР КУЛАКОМ<E>
KickTip,|,НАЖМИТЕ ЗДЕСЬ*comma ЧТОБЫ ВЫПОЛНИТЬ *cr<D>ПИНОК<E>
DuckTip,|,НАЖМИТЕ ЗДЕСЬ*comma ЧТОБЫ ВЫПОЛНИТЬ *cr<D>НИЖНИЙ УДАР<E>
SprintTip,|,ИДЕТ АВТОМАТИЧЕСКИ*cr*crКОСНИТЕСЬ И УДЕРЖИВАЙТЕ В ЛЮБОМ МЕСТЕ ЧТОБЫ <D>БЕЖАТЬ<E>
SprintTipGamepad,|,ИДЕТ АВТОМАТИЧЕСКИ*cr*crУДЕРЖИВАЙТЕ ЛЮБУЮ КНОПКУ ЧТОБЫ <D>БЕЖАТЬ<E>
SprintTouchTip,|,<K>СОВЕТ!<E>*crВО ВРЕМЯ БЕГА ВЫ МОЖЕТЕ ПЕРЕДВИГАТЬ ПАЛЕЦ В ДРУГОЕ МЕСТО НЕ ПРЕРЫВАЯ  <D>БЕГ<E> 
WalkTip,|,БЕГ АВТОМАТИЧЕСКИ*cr*crНАЖМИТЕ И УДЕРЖИВАЙТЕ В ЛЮБОМ МЕСТЕ ЧТОБЫ <D>ИДТИ<E>
WalkTipGamepad,|,БЕГ АВТОМАТИЧЕСКИ*cr*crУДЕРЖИВАЙТЕ ЛЮБУЮ КНОПКУ ЧТОБЫ <D>ИДТИ<E>
PunchBeatsKick,|,<A>УДАР КУЛАКОМ <B>БЬЕТ<C> ПИНОК
KickBeatsDuck,|,<A>ПИНОК <B>БЬЕТ<C> НИЖНИЙ УДАР
DuckBeatsPunch,|,<A>НИЖНИЙ УДАР <B>БЬЕТ<C> УДАР КУЛАКОМ
PunchAttackLeft,|,<A>УДАР КУЛАКОМ <E>СЛЕВА
KickAttackLeft,|,<A>ПИНОК <E>СЛЕВА
DuckAttackLeft,|,<A>НИЖНИЙ УДАР <E>СЛЕВА
PunchAttackRight,|,<A>УДАР КУЛАКОМ <E>СПРАВА
KickAttackRight,|,<A>ПИНОК <E>СПРАВА
DuckAttackRight,|,<A>НИЖНИЙ УДАР <E>СПРАВА
ScoreNumTip,|,ЭТО ЧИСЛО ПОКАЗЫВАЕТ ВАШ СЧЕТ ЗА ТЕКУЩИЙ УРОВЕНЬ
ScoreMultiTip,|,ЭТОТ СЧЕТЧИК ПОКАЗЫВАЕТ*comma СКОЛЬКО ОЧКОВ*crВЫ ПОЛУЧАЕТЕ ЗА ПОБЕДУ НАД ВРАГАМИ*cr*crУВЕЛИЧЬТЕ СЧЕТ*comma*crПОРАЖАЯ ВРАГОВ ИЛИ БЕГА*cr*crВ ПРОТИВНОМ СЛУЧАЕ СЧЕТЧИК БУДЕТ*crМЕДЛЕННО ВОЗВРАЩАТЬСЯ К 1
ScoreHeartTip,|,СЕРДЦЕ ДАЕТ ВАМ ВТОРОЙ ШАНС*cr*crОНО ИСПОЛЬЗУЕТСЯ*comma КОГДА ВЫ СБИТЫ С НОГ*comma*crНО ВЫ МОЖЕТЕ ЗАРАБОТАТЬ ЕГО СНОВА*comma*crЕСЛИ ПОБЕДИТЕ ДОСТАТОЧНОЕ*crКОЛИЧЕСТВО ВРАГОВ
ScoreCoinsTip,|,ИНОГДА ВРАГИ РОНЯЮТ МОНЕТЫ*cr*crЗДЕСЬ ПОКАЗАНО ОБЩЕЕ*crКОЛИЧЕСТВО ВАШИХ МОНЕТ
ScoreOptionsTip,|,СОВЕТ!*cr*crВЫ МОЖЕТЕ <HLY>ИЗМЕНИТЬ СЛОЖНОСТЬ<EHL>*crИ НАСТРОИТЬ СЕНСОРНОЕ УПРАВЛЕНИЕ*crВ <HLG>МЕНЮ ОПЦИЙ<EHL> <L>
LSandPTip,|,МОЖНО ИГРАТЬ КАК В АЛЬБОМНОЙ, ТАК И В ПОРТРЕТНОЙ ОРИЕНТАЦИИ
Next,|,ДАЛЕЕ >
DemoPlay,|,- ДЕМОНСТРАЦИОННАЯ ИГРА -
TapToExit,|,НАЖМИТЕ*comma ЧТОБЫ ВЫЙТИ
PressAnyButtonToExit,|,НАЖМИТЕ ЛЮБУЮ КНОПКУ*comma ЧТОБЫ ВЫЙТИ
BewareTheBear,|,ОСТЕРЕГАЙТЕСЬ МЕДВЕДЯ!!
NewScore,|,НОВЫЙ СЧЕТ
BestScore,|,ЛУЧШИЙ СЧЕТ
NewBest,|,НОВЫЙ РЕКОРД!
AllStagesTotal,|,ИТОГО ВСЕХ УРОВНЕЙ
AllStagesNewTotal,|,НОВОЕ ИТОГО ВСЕХ УРОВНЕЙ
TotalScore,|,ИТОГОВЫЙ СЧЕТ
NewTotal,|,НОВОЕ ИТОГО!! 
FinalScore,|,ФИНАЛЬНЫЙ СЧЕТ
StageTime,|,ВРЕМЯ УРОВНЯ
BestTime,|,ЛУЧШЕЕ ВРЕМЯ
NewBestTime,|,НОВОЕ ЛУЧШЕЕ ВРЕМЯ
EnemiesOutrun,|,> ВРАГИ*comma КОТОРЫХ ВЫ ИЗБЕЖАЛИ
OutrunBonus,|,+ БОНУС ЗА ВРАГОВ*comma*cr    КОТОРЫХ ВЫ ИЗБЕЖАЛИ
HeartBonus,|,+ БОНУС СЕРДЦА
PlayStageAgain,|,ПРОЙТИ УРОВЕНЬ ЕЩЕ РАЗ
Share,|,ПОДЕЛИТЬСЯ
RateThisGame,|,ОЦЕНИТЕ   ЭТУ   ИГРУ
Rate,|,ОЦЕНИТЕ!
IScoredXOnStageY,|,Я НАБРАЛ ~X~ НА УРОВНЕ ~Y~!
IDefeatedBaron,|,Я ПОБЕДИЛ БАРОНА ТИГРИССО!
FinalBattle,|,ФИНАЛЬНЫЙ ПОЕДИНОК
Revive,|,ВОЗРОЖДЕНИЕ
Skip,|,ПРОПУСТИТЬ
Tip,|,- СОВЕТ -
TryAgain,|,ПОПРОБОВАТЬ СНОВА
TryAgainQ,|,ПОПРОБОВАТЬ СНОВА?
Victory,|,ПОБЕДА!!
VictoryLine2,|,ВЫ ПОБЕДИЛИ БАРОНА ТИГРИССО
WellDone,|,ОТЛИЧНАЯ РАБОТА!!
PLAYER DIALOGUE,|,
KnockDownDoor,|,МНЕ НУЖНО ПРОЙТИ ЧЕРЕЗ ЭТУ ДВЕРЬ
LetsGetOutOfHere,|,ДАВАЙТЕ ВЫБИРАТЬСЯ ОТСЮДА
UhOh,|,УПС
Bam!,|,БАМ!
Yes!,|,ДА!
MoreTrouble,|,ЕЩЕ БОЛЬШЕ ПРОБЛЕМ!
AnotherCustomer,|,ЕЩЕ ОДИН КЛИЕНТ
SeeYouLater,|,УВИДИМСЯ ПОЗЖЕ!
GoodNight,|,СПОКОЙНОЙ НОЧИ!
OneHit,|,ОДИН УДАР!
GettingTheHangOfThis,|,Я НАЧИНАЮ*crПОНИМАТЬ ЭТО!
ThinkIGetIt,|,ХОРОШО*comma Я ДУМАЮ*crЧТО ПОНЯЛ
ImStrongerThanILook,|,Я СИЛЬНЕЕ*crЧЕМ ВЫГЛЯЖУ!
Hmm,|,ХММ...
NeitherOfUsWon,|,НИ ОДИН ИЗ*crНАС НЕ ВЫИГРАЛ
ThatWasADraw,|,ЭТО БЫЛА НИЧЬЯ
AnotherDraw,|,ЕЩЕ ОДНА НИЧЬЯ
ShouldFightBack,|,Я ДОЛЖЕН*crДАТЬ ОТПОР
Ow,|,АЙ!!
Nope,|,НЕТ
ThatDidntWork,|,ЭТО НЕ СРАБОТАЛО
WhatABully,|,КАКОЙ ХУЛИГАН!
PretendThatDidntHappen,|,ПРИТВОРИЛСЯ ЧТО*crЭТОГО НЕ БЫЛО
WrongMove,|,НЕПРАВИЛЬНЫЙ ХОД
NeedToBeCloser,|,ПРАВИЛЬНЫЙ ХОД*comma НО МНЕ*crНУЖНО БЫТЬ БЛИЖЕ
WouldHaveWorkedIfCloser,|,ЭТО БЫ СРАБОТАЛО*crЕСЛИ Я БЫЛ БЛИЖЕ
PunchVsDuck,|,ЭТОТ <F>НИЖНИЙ УДАР<G>*crБЬЕТ МОЙ <F>УДАР КУЛАКОМ<G>
KickVsPunch,|,Я ДУМАЮ <F>НИЖНИЙ УДАР<G>*crИ ЕСТЬ ОТВЕТ
DuckVsKick,|,ЭТОТ <F>ПИНОК<G>*crБЬЕТ МОЙ <F>НИЖНИЙ УДАР<G>
LetsGetSerious,|,ЛАДНО*comma ДАВАЙТЕ СЕРЬЕЗНЕЕ!
EnoughTraining,|,ЛАДНО*comma ХВАТИТ ТРЕНИРОВОК*crДАВАЙТЕ ПОПРОБУЕМ ЭТОТ*crУРОВЕНЬ ПО-НАСТОЯЩЕМУ!
GuessIShouldHurry,|,ДУМАЮ*comma МНЕ СЛЕДУЕТ*crПОТОРОПИТЬСЯ
BetterKeepMoving,|,ЛУЧШЕ ПРОДОЛЖАТЬ ДВИГАТЬСЯ!
IdBetterHurry,|,МНЕ ЛУЧШЕ ПОТОРОПИТЬСЯ!
IdBetterRun,|,МНЕ ЛУЧШЕ БЕЖАТЬ!
GoingToHaveToRun,|,ПРИДЕТСЯ БЕЖАТЬ!!
NotMuchTime,|,НЕ ТАК МНОГО ВРЕМЕНИ!!!
LetsGo,|,ПОЕХАЛИ!
OKImGoing,|,ХОРОШО*comma ХОРОШО*comma ИДУ
ThatWasEasy,|,ЧТО Ж*comma ЭТО БЫЛО ЛЕГКО!
ThatWasntTooHard,|,ЭТО НЕ БЫЛО*crТАК ТРУДНО
ThatWasClose,|,ЭТО БЫЛО БЛИЗКО!
TooSlowShaggy,|,СЛИШКОМ МЕДЛЕННО*comma КОСМАТЫЙ!
HowInconsiderate,|,КАК НЕВНИМАТЕЛЬНО
goHint_bottleTip1,|,СОВЕТ! ЕСЛИ Я ОКАЖУСЬ МЕЖДУ ВРАГОМ И БУТЫЛКОЙ*comma*crСНАЧАЛА Я ДОЛЖЕН ПОПЫТАТЬСЯ РАЗОБРАТЬСЯ С БУТЫЛКОЙ
goHint_bottleTip2,|,СОВЕТ! ЕСЛИ МНЕ ПРИДЕТСЯ ВЫБИРАТЬ МЕЖДУ*crСРАЖЕНИЕМ С ВРАГОМ ИЛИ С БУТЫЛКОЙ*comma*crЯ СНАЧАЛА ВЫБЕРУ БУТЫЛКУ
goHint_shouldHaveHitCart,|,СОВЕТ! ЕСЛИ МНЕ ПРИДЕТСЯ ВЫБИРАТЬ МЕЖДУ*crСРАЖЕНИЕМ С ВРАГОМ ИЛИ ТЕЛЕЖКОЙ*comma*crЯ ЛУЧШЕ СНАЧАЛА РАЗБЕРУСЬ С ТЕЛЕЖКОЙ
goHint_foxTip1,|,ЭТИ ЛИСЫ ЛЮБЯТ БИТЬ КУЛАКАМИ И НОГАМИ!*crЯ ЛУЧШЕ ПОСМОТРЮ*comma КАК ОНИ БУДУТ ПРИБЛИЖАТЬСЯ КО МНЕ
goHint_tapLeftToAttackLeft,|,СОВЕТ! НАЖМИТЕ НА ЛЕВУЮ ЧАСТЬ ЭКРАНА*crЧТОБЫ АТАКОВАТЬ СЛЕВА
goHint_tapRightToAttackRight,|,СОВЕТ! НАЖМИТЕ НА ПРАВУЮ ЧАСТЬ ЭКРАНА*crЧТОБЫ АТАКОВАТЬ СПРАВА
goHint_tigerTip1,|,ЭТОТ ТИГР ИСКУСЕН В*cr<AA>СРЕДНИХ<G>*comma <BB>НИЗКИХ<G> И <CC>ВЫСОКИХ<G> АТАКАХ...*crПОВЕЗЛО*comma ЧТО У МЕНЯ ХОРОШО ПОЛУЧАЮТСЯ*cr<AA>УДАРЫ КУЛАКОМ<G>*comma <BB>ПИНКИ<G>*comma И <CC>НИЖНИЕ УДАРЫ!! *cr
goHint_run,|,СОВЕТ! КОСНИТЕСЬ И УДЕРЖИВАЙТЕ*crВ ЛЮБОМ МЕСТЕ ЧТОБЫ БЕЖАТЬ
goHint_runCont,|,СОВЕТ! УДЕРЖИВАЙТЕ ЛЮБУЮ*crКНОПКУ ЧТОБЫ БЕЖАТЬ
uCongratsDiff1,|,ОТЛИЧНАЯ РАБОТА!*crВЫ ПРОШЛИ ВСЕ УРОВНИ*crНА УРОВНЕ СЛОЖНОСТИ 1*cr
uCongratsDiff2,|,УДИВИТЕЛЬНО!!*crВЫ ПРОШЛИ ВСЕ УРОВНИ*crНА УРОВНЕ СЛОЖНОСТИ 2*cr
uCongratsDiff3,|,НЕВЕРОЯТНО!!*crВЫ ПРОШЛИ ВСЕ УРОВНИ*crНА УРОВНЕ СЛОЖНОСТИ 3*cr
ub1,|,СПАСИБО*comma ЧТО РАСПАКОВАЛИ МЕНЯ!!*crМОИ ДЕЛОВЫЕ НАВЫКИ ДАЮТ ВАМ ВДВОЕ БОЛЬШЕ*crМОНЕТ ОТ ВРАГОВ И РЕКЛАМЫ!
ub2,|,СПАСИБО*comma ЧТО РАСПАКОВАЛИ МЕНЯ!!*crМОЙ НАВЫК ВЕДЕНИЯ ПЕРЕГОВОРОВ ОЗНАЧАЕТ ЧТО КОЛИЧЕСТВО МОНЕТ*crНЕОБХОДИМЫХ ДЛЯ РАСПАКОВКИ*comma ТЕПЕРЬ УМЕНЬШЕНО ВДВОЕ!
KnockKnock,|,ТУК-ТУК
You!,|,ТЫ!!
Hello,|,ПРИВЕТ...
zzBoss,|,БОСС!
zzBrother,|,БРАТ!!
zzCousin,|,КУЗЕН!
zzFormerBusinessPartner,|,БЫВШИЙ ДЕЛОВОЙ ПАРТНЕР!
zzIDontKnow,|,Я НЕ ЗНАЮ*comma ЧТО ПРОИСХОДИТ!
zzLongtimeNemesis,|,ДАВНИЙ ЗАКЛЯТЫЙ ВРАГ!
zzMyMaker,|,МОЙ СОЗДАТЕЛЬ!
zzMyOldStudent,|,МОЙ СТАРЫЙ УЧЕНИК!
zzOldFriend,|,СТАРЫЙ ДРУГ!
zzSpecimen,|,ОБРАЗЕЦ 248
zzThief,|,ВОР!
zzUncle,|,ДЯДЯ!
zzUsurper,|,УЗУРПАТОР!
zzWhoeverYouAre,|,КЕМ БЫ ТЫ НИ БЫЛ
zzInsuranceNeeds,|,Я ХОТЕЛ БЫ ПОГОВОРИТЬ С ТОБОЙ О*crСТРАХОВАНИИ ТВОЕЙ ЖИЗНИ
zzComplain,|,Я ХОЧУ ПОДАТЬ ЖАЛОБУ*crО ПЛАНИРОВКЕ ЭТОГО МЕСТА
zzLostCar,|,НА САМОМ ДЕЛЕ*comma Я ПРОСТО ПЫТАЮСЬ ПОНЯТЬ*crГДЕ Я ОСТАВИЛ СВОЮ МАШИНУ
zzTrendJoiner,|,Я СЛЫШАЛ*comma ЧТО ВСЕ ДЕРУТСЯ С ТОБОЙ*comma*crПОЭТОМУ Я ПОДУМАЛ…*crКОНЕЧНО*comma ПОЧЕМУ БЫ И НЕТ?
zzTigerTamer,|,ОНИ НАЗЫВАЮТ МЕНЯ*crУКРОТИТЕЛЕМ ТИГРОВ!
zzTeachManners,|,Я ЗДЕСЬ*comma ЧТОБЫ НАУЧИТЬ*crТЕБЯ ХОРОШИМ МАНЕРАМ
zzPJs,|,СЕЙЧАС ТРИ ЧАСА ДНЯ*comma А*crТЫ ВСЕ ЕЩЕ В ПИЖАМЕ?
zzTenBucks,|,Я ЗДЕСЬ ИЗ-ЗА ДЕСЯТИ БАКСОВ*comma*crКОТОРЫЕ ТЫ МНЕ ДОЛЖЕН
zzBetterDoors,|,ТЕБЕ НА САМОМ ДЕЛЕ*crНУЖНЫ ДВЕРИ ПОЛУЧШЕ
zzTorchOut,|,ПРОСТО ХОТЕЛ ВАМ СООБЩИТЬ*comma ЧТО ОДИН*crИЗ ФАКЕЛОВ В ПОДЗЕМЕЛЬЕ ПОГАС
