TargetLanguage,|,DEUTSCH
SprintTipGamepad,|,DU GEHST AUTOMATISCH*cr*crHALTE EINEN KNOPF GEDRÜCKT UM ZU <D>RENNEN<E>
SprintTouchTip,|,<K>TIPP!<E>*crDU KANNST DEINEN FINGER BEIM GEDRÜCKTHALTEN BEWEGEN OHNE DEIN <D>RENNEN<E> ZU UNTERBRECHEN
WalkTip,|,DU RENNST AUTOMATISCH*cr*crBERÜHRE DEN TOUCHSCREEN LANGE UM ZU <D>GEHEN<E>
WalkTipGamepad,|,DU RENNST AUTOMATISCH*cr*crHALTE EINEN KNOPF GEDRÜCKT UM ZU <D>GEHEN<E>
PunchBeatsKick,|,<A>SCHLAG <B>BESIEGT<C> TRITT
KickBeatsDuck,|,<A>TRITT <B>BESIEGT<C> DUCKEN
DuckBeatsPunch,|,<A>DUCKEN <B>BESIEGT<C> SCHLAG
PunchAttackLeft,|,<A>SCHLAG <E>ANGRIFF LINKS
KickAttackLeft,|,<A>TRITT <E>ANGRIFF LINKS
DuckAttackLeft,|,<A>DUCKEN <E>ANGRIFF LINKS
PunchAttackRight,|,<A>SCHLAG <E>ANGRIFF RECHTS
KickAttackRight,|,<A>TRITT <E>ANGRIFF RECHTS
DuckAttackRight,|,<A>DUCKEN <E>ANGRIFF RECHTS
ScoreNumTip,|,DIE ZAHL HIER ZEIGT DEINEN AKTUELLEN PUNKTESTAND IN DIESEM LEVEL
ScoreMultiTip,|,DIESER MULTIPLIKATOR ZEIGT DIR*comma*crWIE VIELE PUNKTE DU FÜR*crBESIEGTE GEGNER BEKOMMST*cr*crERHÖHE DEINEN MULTIPLIKATOR INDEM DU*crFEINDE TRIFFST ODER INDEM DU RENNST*cr*crANSONSTEN WIRD DER MULTIPLIKATOR*crLANGSAM AUF 1 SINKEN
ScoreHeartTip,|,DAS HERZ GIBT DIR EINE ZWEITE CHANCE*cr*crES WIRD AUTOMATISCH BENUTZT WENN DU*crZU BODEN GEHST ABER DU KANNST DIR*crEIN NEUES VERDIENEN INDEM DU*crGENUG GEGNER BESIEGST
ScoreCoinsTip,|,MANCHMAL LASSEN GEGNER MÜNZEN FALLEN*cr*crDEINE GESAMMELTEN MÜNZEN*crWERDEN HIER ANGEZEIGT
ScoreOptionsTip,|,TIPP!*cr*crDU KANNST DEN <HLY>SCHWIERIGKEITSGRAD<EHL>*crUND DIE TOUCH STEUERUNG IM*cr<HLG>OPTIONSMENÜ<EHL> <L> ÄNDERN
LSandPTip,|,HORIZONTAL UND VERTIKAL SPIELBAR
Next,|,WEITER >
DemoPlay,|,- DEMO -
TapToExit,|,TIPPEN ZUM BEENDEN
PressAnyButtonToExit,|,DRÜCKE EINE TASTE ZUM BEENDEN
BewareTheBear,|,ACHTUNG VOR DEM BÄREN!!
NewScore,|,NEUER PUNKTESTAND
BestScore,|,BESTER PUNKTESTAND
NewBest,|,NEUER BESTER PUNKTESTAND
AllStagesTotal,|,ALLE LEVEL ZUSAMMEN
AllStagesNewTotal,|,ALLE LEVEL ZUSAMMEN NEU
TotalScore,|,GESAMTPUNKTZAHL
NewTotal,|,NEUER GESAMTWERT!!
FinalScore,|,ABSCHLUSS PUNKTESTAND
StageTime,|,LEVEL ZEIT
BestTime,|,BESTZEIT
NewBestTime,|,NEUE BESTZEIT
EnemiesOutrun,|,> GEGNERN ENTKOMMEN
OutrunBonus,|,+ ENTKOMMEN BONUS
HeartBonus,|,+ HERZ BONUS
PlayStageAgain,|,LEVEL NOCHMAL SPIELEN
Share,|,TEILEN
RateThisGame,|,DIESES   SPIEL   BEWERTEN
Rate,|,BEWERTEN!
IScoredXOnStageY,|,MEINE PUNKTE ~X~ IN LEVEL ~Y~!
IDefeatedBaron,|,ICH HABE BARON TIGRISSO BESIEGT!
FinalBattle,|,FINALER KAMPF
Revive,|,WIEDERBELEBEN
Skip,|,ÜBERSPRINGEN
Tip,|,- TIPP -
TryAgain,|,NOCHMAL VERSUCHEN
TryAgainQ,|,ERNEUT VERSUCHEN?
Victory,|,GEWONNEN!!
VictoryLine2,|,DU HAST BARON TIGRISSO BESIEGT
WellDone,|,GUT GEMACHT!!
PLAYER DIALOGUE,|,
KnockDownDoor,|,ICH MUSS AN DER TÜR VORBEI
LetsGetOutOfHere,|,NA DANN MAL RAUS HIER
UhOh,|,OH OH
Bam!,|,BAM!
Yes!,|,JAWOLL!
MoreTrouble,|,MEHR FIESLINGE!
AnotherCustomer,|,NOCH EIN KUNDE!
SeeYouLater,|,BIS DANN!
GoodNight,|,SCHLAF GUT
OneHit,|,SCHWÄCHLING!
GettingTheHangOfThis,|,ICH HAB LANGSAM*crDEN DREH RAUS!
ThinkIGetIt,|,OK*comma ICH HAB’S VERSTANDEN
ImStrongerThanILook,|,ICH BIN STÄRKER*crALS ICH AUSSEHE!
Hmm,|,HM…
NeitherOfUsWon,|,KEINER VON UNS*crIST DER SIEGER
ThatWasADraw,|,DAS WAR EIN GLEICHSTAND
AnotherDraw,|,NOCH EIN GLEICHSTAND
ShouldFightBack,|,ICH SOLLTE MICH WEHREN
Ow,|,AUA!!
Nope,|,NEE
ThatDidntWork,|,DAS HAT NICHT FUNKTIONIERT
WhatABully,|,VOLL DER FIESLING!
PretendThatDidntHappen,|,TUN WIR MAL SO ALS WÄRE*crDAS NICHT PASSIERT
WrongMove,|,FALSCHER MOVE
NeedToBeCloser,|,RICHTIGER MOVE ABER ICH WAR*crNICHT NAH GENUG DRAN
WouldHaveWorkedIfCloser,|,DAS KLAPPT NUR WENN*crICH NÄHER DRAN BIN
PunchVsDuck,|,DER <F>DUCKEN<G> ANGRIFF*crSCHLÄGT MEINEN <F>SCHLAG<G>
KickVsPunch,|,ICH GLAUBE DER <F>DUCKEN<G> ANGRIFF*crIST HIER DIE RICHTIGE ANTWORT
DuckVsKick,|,DER <F>TRITT<G>*crSCHLÄGT MEINEN <F>DUCKEN<G> ANGRIFF
LetsGetSerious,|,OK. JETZT WIRD’S ERNST!
EnoughTraining,|,OK*comma GENUG TRAINIERT*crJETZT LASS UNS DEN LEVEL*crMAL WIRKLICH AUSPROBIEREN!
GuessIShouldHurry,|,ICH SCHÄTZE ICH SOLLTE MICH BEEILEN
BetterKeepMoving,|,ICH MUSS IN BEWEGUNG BLEIBEN!
IdBetterHurry,|,ICH MUSS MICH BEEILEN!
IdBetterRun,|,ICH SOLLTE BESSER RENNEN!
GoingToHaveToRun,|,ICH WERD’ RENNEN MÜSSEN!!
NotMuchTime,|,KEINE ZEIT!!!
LetsGo,|,LOS GEHT’S!
OKImGoing,|,OK OK*comma ICH GEH JA SCHON
ThatWasEasy,|,NA DAS WAR JA MAL EINFACH!
ThatWasntTooHard,|,WAR NICHT WIRKLICH SCHWER
ThatWasClose,|,DAS WAR KNAPP!
TooSlowShaggy,|,ZU LANGSAM*comma FELLKNÄUEL!
HowInconsiderate,|,WIE UNHÖFLICH
goHint_bottleTip1,|,TIPP! WENN ICH MICH ZWISCHEN FEIND UND FLASCHE*crENTSCHEIDEN MUSS*comma SOLLTE ICH DIE FLASCHE WÄHLEN!
goHint_bottleTip2,|,TIPP! WENN ICH ZWISCHEN FEIND UND FLASCHE*crENTSCHEIDEN MUSS*comma DANN WÄHLE ICH DIE FLASCHE!
goHint_shouldHaveHitCart,|,TIPP! WENN ICH MICH ZWISCHEN EINEM FEIND UND EINEM*crWAGEN ENTSCHEIDEN MUSS DANN SOLLTE ICH ZUERST AUF DEN WAGEN HAUEN!
goHint_foxTip1,|,DIESE FÜCHSE STEHEN DRAUF ZU SCHLAGEN UND ZU TRETEN!*crICH SOLLTE AUFPASSEN WAS SIE MIR ENTGEGENWERFEN
goHint_tapLeftToAttackLeft,|,TIPP! TIPPE AUF DIE LINKE SEITE DES TOUCHSCREEN*crUM NACH LINKS ANZUGREIFEN
goHint_tapRightToAttackRight,|,TIPP! TIPPE AUF DIE RECHTE SEITE DES TOUCHSCREENS*crUM NACH RECHTS ANZUGREIFEN
goHint_tigerTip1,|,DER TIGER HAT ES DRAUF MIT*cr<AA>MITTLEREN<G>*comma <BB>NIEDRIGEN<G>*comma UND <CC>HOHEN<G> ANGRIFFEN...*crZUM GLÜCK BIN ICH GUT MIT*cr<AA>SCHLÄGEN<G>*comma <BB>TRITTEN<G>*comma UND IM <CC>DUCKEN!!*cr
goHint_run,|,TIPP! BERÜHRE DEN TOUCHSCREEN*crLANGE UM ZU RENNEN
goHint_runCont,|,TIPP! HALTE EINEN KNOPF*crGEDRÜCKT UM ZU RENNEN
uCongratsDiff1,|,GUT GEMACHT!*crDU HAST ALLE LEVEL AUF DEM*crSCHWIERIGKEITSGRAD 1 GESCHAFFT
uCongratsDiff2,|,SUPER!!*crDU HAST ALLE LEVEL AUF DEM*crSCHWIERIGKEITSGRAD 2 GESCHAFFT
uCongratsDiff3,|,UNGLAUBLICH!!*crDU HAST ALLE LEVEL AUF DEM*crSCHWIERIGKEITSGRAD 3 GESCHAFFT
ub1,|,DANKE DAS DU MICH AUSGEPACKT HAST!!*crMEIN GESCHÄFTSSINN BEDEUTET*comma DASS DU DOPPELT SO VIELE MÜNZEN*crVON GEGNERN UND WERBUNG MIT BELOHNUNGEN ERHÄLTST!*cr
ub2,|,DANKE DAS DU MICH AUSGEPACKT HAST!!*crMEIN VERHANDLUNGSGESCHICK BEDEUTET*comma DASS DU JETZT NUR NOCH*crDIE HÄLFTE DER MÜNZEN BRAUCHST UM CHARAKTERE AUSZUPACKEN!
KnockKnock,|,KLOPF KLOPF
You!,|,DU!!!
Hello,|,HALLO…*cr
zzBoss,|,BOSS!
zzBrother,|,BRUDER!!
zzCousin,|,COUSIN!
zzFormerBusinessPartner,|,MEIN EHEMALIGER GESCHÄFTSPARTNER!
zzIDontKnow,|,ICH HAB KEINE AHNUNG WAS HIER PASSIERT!
zzLongtimeNemesis,|,MEIN LANGJÄHRIGER ERZFEIND!
zzMyMaker,|,MEIN ERSCHAFFER!
zzMyOldStudent,|,MEIN EHEMALIGER SCHÜLER!
zzOldFriend,|,ALTER FREUND!
zzSpecimen,|,EXEMPLAR 248
zzThief,|,DIEB!
zzUncle,|,ONKEL!
zzUsurper,|,THRONRÄUBER!
zzWhoeverYouAre,|,WER AUCH IMMER DU BIST
zzInsuranceNeeds,|,ICH WÜRDE GERNE MIT IHNEN*crÜBER IHRE VERSICHERUNG REDEN
zzComplain,|,ICH MÖCHTE EINE BESCHWERDE*crÜBER DIESEN ORT EINREICHEN
zzLostCar,|,ALSO EIGENTLICH VERSUCHE ICH*crNUR HERAUSZUFINDEN WO*crICH MEIN AUTO GEPARKT HABE
zzTrendJoiner,|,ICH HAB GEHÖRT ALLE SIND AM KÄMPFEN*comma*crALSO DACHTE ICH MIR...KLAR*comma WARUM NICHT?
zzTigerTamer,|,SIE NENNEN MICH DEN TIGERBÄNDIGER!
zzTeachManners,|,ICH BIN HIER*crUM DIR MANIEREN BEIZUBRINGEN
zzPJs,|,ES IST DREI UHR NACHMITTAG UND*crDU TRÄGST IMMER NOCH*crDEINEN SCHLAFANZUG?
zzTenBucks,|,ICH BIN HIER WEGEN DEN 10 MÄUSEN*crDIE DU MIR SCHULDEST!
zzBetterDoors,|,DU BRAUCHST ECHT*crSTABILERE TÜREN HIER
zzTorchOut,|,ICH WOLLTE DIR NUR MITTEILEN*comma*crDASS EINE DER FACKELN IN*crDEINEM KERKER AUSGEGANGEN IST
