TargetLanguage,|,한국어
LevelXResult,|,레벨<X>결과
Level,|,레벨
Result,|,결과
Paused,|,일시정지
Continue,|,계속
Restart,|,다시시작
Quit,|,종료
QuitGame,|,게임에서나갈까요?
HideMenu,|,메뉴 숨기기
ShowMenu,|,스크린을 터치하여 메뉴 보이기
ShowMenu_Cont,|,아무 버튼을 눌러 메뉴 보이기
CombatTraining,|,- 연습 대결 -
Punch,|,펀치
Kick,|,킥
Duck(Low),|,덕
,|,
PunchTip,|,<D>펀치<E> 공격을 하려면*cr여기를 탭하세요
KickTip,|,<D>킥<E> 공격을 하려면*cr여기를 탭하세요
DuckTip,|,<D>덕<E> 공격을 하려면*cr여기를 탭하세요
SprintTip,|,걷기는 자동입니다*cr*cr<D>달리기<E>를 하려면*cr아무 곳이나 터치한 후 유지하세요
SprintTipGamepad,|,걷기는 자동입니다*cr*cr<D>달리기<E>를 하려면*cr아무 버튼이나 누르고 유지하세요
SprintTouchTip,|,<K>팁<E>*cr터치한 부분을 드래그하면 <D>달리기<E>를 멈추지 않고 계속 달리며 다른 위치로 갈 수 있습니다
WalkTip,|,달리기는 자동입니다*cr*cr<D>걷기<E>를 하려면*cr아무 곳이나 탭한 후 유지하세요
WalkTipGamepad,|,달리기는 자동입니다*cr*cr<D>걷기<E>를 하려면*cr아무 버튼이나 누르고 유지하세요
PunchBeatsKick,|,<A>펀치는 <C>킥을 <B>이깁니다
KickBeatsDuck,|,<A>킥은 <C>덕을 <B>이깁니다
DuckBeatsPunch,|,<A>덕은 <C>펀치를 <B>이깁니다
PunchAttackLeft,|,<A>펀치 <E>왼쪽 공격
KickAttackLeft,|,<A>킥 <E>왼쪽 공격
DuckAttackLeft,|,<A>덕 <E>왼쪽 공격
PunchAttackRight,|,<A>펀치 <E>오른쪽 공격
KickAttackRight,|,<A>킥 <E>오른쪽 공격
DuckAttackRight,|,<A>덕 <E>오른쪽 공격
ScoreNumTip,|,이 숫자는 현재 레벨에서의 스코어를 나타냅니다
ScoreMultiTip,|,이 카운터는 적들을 이기고 얻는*cr포인트가 얼마인지 나타냅니다*cr*cr달리기나 적들을 때려서 카운터를 올리세요*cr*cr그렇지 않으면 카운터는*cr천천히 1로 떨어지게 됩니다
ScoreHeartTip,|,하트는 두 번째 기회를 줍니다*cr*cr쓰러졌을 때 사용되지만*comma 충분한 적들을*cr물리치면 다시 얻을 수 있습니다
ScoreCoinsTip,|,가끔 적들은 코인을 떨어뜨립니다*cr*cr보유한 코인의 총 갯수는 여기서 나타납니다 
ScoreOptionsTip,|,팁!*cr*cr<HLY>난이도<EHL> 변경과*cr터치컨트롤 조절을*cr<HLG>옵션 메뉴에서<EHL> 할 수 있습니다 <L>
LSandPTip,|,가로와 세로 모드에서 모두 플레이 가능
Next,|,다음 >*cr
DemoPlay,|,- 시범 플레이 -
TapToExit,|,탭하여 종료
PressAnyButtonToExit,|,아무 버튼을 눌러 종료
BewareTheBear,|,곰 조심!!
NewScore,|,새 스코어
BestScore,|,최고 스코어
NewBest,|,새로운 최고 기록!
AllStagesTotal,|,전체 레벨 스코어
AllStagesNewTotal,|,새로운 전체 레벨 스코어
TotalScore,|,총 스코어
NewTotal,|,새로운 총 스코어!!
FinalScore,|,최종 스코어
StageTime,|,레벨 시간
BestTime,|,최고 시간
NewBestTime,|,새로운 최고 시간
EnemiesOutrun,|,> 따돌린 적의 수 
OutrunBonus,|,+ 따돌림 보너스
HeartBonus,|,+ 하트 보너스
PlayStageAgain,|,레벨 다시 플레이하기
Share,|,공유
RateThisGame,|,게임   평가하기
Rate,|,평가하기!
IScoredXOnStageY,|,레벨 ~Y~ 에서 ~X~ 스코어를 획득했어 
IDefeatedBaron,|,바론 타이그리소를 이겼다!
FinalBattle,|,최종 배틀
Revive,|,부활
Skip,|,건너뛰기
Tip,|,- 팁 -
TryAgain,|,다시 시도
TryAgainQ,|,다시 해 보다?
Victory,|,승리!!
VictoryLine2,|,바론 타이그리소를 이겼습니다
WellDone,|,잘했어요!!
PLAYER DIALOGUE,|,
KnockDownDoor,|,이 문을 통과해야해
LetsGetOutOfHere,|,여기서 빨리 나가자
UhOh,|,이런
Bam!,|,빵!
Yes!,|,좋았어!
MoreTrouble,|,귀찮은게 또 오는군
AnotherCustomer,|,또 다른 고객님이군
SeeYouLater,|,다음에 보자구!
GoodNight,|,잘 자라!
OneHit,|,한 방!
GettingTheHangOfThis,|,이제 좀 잘 하는 것 같아!
ThinkIGetIt,|,이제 좀 이해하는 것 같아
ImStrongerThanILook,|,나 보기보다 강하다고!
Hmm,|,흠…
NeitherOfUsWon,|,이긴 쪽이 아무도 없어
ThatWasADraw,|,무승부
AnotherDraw,|,또 무승부
ShouldFightBack,|,반격해야겠어
Ow,|,으악!!
Nope,|,이게 아냐
ThatDidntWork,|,안 통했어
WhatABully,|,완전 양아치네!
PretendThatDidntHappen,|,아무 일도 없던 것처럼 굴어야지
WrongMove,|,틀렸어
NeedToBeCloser,|,동작은 맞지만*comma*cr조금 더 가까워야해
WouldHaveWorkedIfCloser,|,조금 더 가까웠으면 통했을거야
PunchVsDuck,|,<F>덕<G> 공격이*cr내 <F>펀치<G>를 이겼어
KickVsPunch,|,내 생각엔 <F>덕<G> 공격이*cr해답인 것 같아
DuckVsKick,|,<F>킥<G> 공격이*cr내 <F>덕<G>공격을 이겼어
LetsGetSerious,|,자*comma 이제 본격적으로 시작해볼까!
EnoughTraining,|,자*comma 이제 훈련은 그만하고*cr이 레벨을 실제로 해보자!
GuessIShouldHurry,|,서둘러야겠군
BetterKeepMoving,|,어서 움직이는게 좋을걸!
IdBetterHurry,|,서두르는게 좋겠어!
IdBetterRun,|,달리는게 좋겠어!
GoingToHaveToRun,|,달려야해!
NotMuchTime,|,시간이 얼마 없어!
LetsGo,|,어서 가자!
OKImGoing,|,알았어 알았어*comma 갈게
ThatWasEasy,|,오*comma 꽤 쉬웠는데!
ThatWasntTooHard,|,그렇게*cr어렵진 않았어
ThatWasClose,|,아슬아슬했다!
TooSlowShaggy,|,너무 느리잖아*comma 이 꼬질아!
HowInconsiderate,|,배려 좀 해주지
goHint_bottleTip1,|,팁! 적군과 날으는 병 사이에 있다면*comma*cr병을 먼저 처리해야겠어
goHint_bottleTip2,|,팁! 만약 적군을 공격하는 것과*cr병을 처리하는 것 중에 선택해야 한다면*comma*cr병을 먼저 선택해야해
goHint_shouldHaveHitCart,|,팁! 만약 적군을 때리는 것과*cr카트를 때리는 것 중에 선택해야 한다면*comma*cr카트를 우선 때리는게 낫겠어
goHint_foxTip1,|,저 여우놈들은 펀치랑 킥을 좋아하네!*cr어떻게 다가오나 지켜봐야겠어
goHint_tapLeftToAttackLeft,|,팁! 왼쪽을 공격하려면*cr화면 왼쪽을 탭하면 돼
goHint_tapRightToAttackRight,|,팁! 오른쪽을 공격하려면*cr화면 오른쪽을 탭하면 돼
goHint_tigerTip1,|,이 호랑이는*cr<AA>미드<G>*comma <BB>로우<G>*comma <CC>하이<G> 공격에 능하군...*cr다행히 나는*cr<AA>펀치<G>*comma <BB>킥<G>*comma <CC>덕<G> 공격을 잘 한다고!!*cr
goHint_run,|,팁! 달리기를 하려면 아무*cr곳이나 터치한 후 유지하세요
goHint_runCont,|,팁! 달리기를 하려면*cr아무 버튼이나 누르고 유지하세요
uCongratsDiff1,|,잘했어요!*cr난이도 1의*cr모든 레벨에서 이겼습니다
uCongratsDiff2,|,놀랍습니다!*cr난이도 2의*cr모든 레벨에서 이겼습니다
uCongratsDiff3,|,엄청나네요!*cr난이도 3의*cr모든 레벨에서 이겼습니다
ub1,|,나를 언박싱해줘서 고마워!*cr내 사업 기술로 이제 적들과 보상형 광고로부터*cr코인을 두 배 받게 될 거야. 
ub2,|,나를 언박싱해줘서 고마워!*cr내 흥정 기술로 이제 캐릭터를 언박스 할 때*cr써야하는 코인의 갯수가 반으로 줄었어!
KnockKnock,|,똑똑
You!,|,너!!
Hello,|,안녕…
zzBoss,|,보스!
zzBrother,|,형!
zzCousin,|,사촌!
zzFormerBusinessPartner,|,옛 동업자!
zzIDontKnow,|,무슨 일이 일어나고 있는지 모르겠네!
zzLongtimeNemesis,|,오랜만이군*comma 네메시스!
zzMyMaker,|,내 창조자!
zzMyOldStudent,|,내 옛 제자!
zzOldFriend,|,오랜 친구!
zzSpecimen,|,표본 248번
zzThief,|,도둑놈!
zzUncle,|,삼촌!
zzUsurper,|,이 강탈자!
zzWhoeverYouAre,|,당신이 누구던지
zzInsuranceNeeds,|,저는 보험 상품에 대해서*cr이야기를 나눴으면 하는데요
zzComplain,|,이 공간의 구조에 대해*cr불만 사항을 제기하고 싶군
zzLostCar,|,사실*comma 나는 단지 내 차를*cr어디에 뒀는지 찾고 있는거야
zzTrendJoiner,|,듣자하니 모두 당신과 싸운다는데*comma*cr그래서 생각한게… 뭐*comma 나도 한 번 해볼까?
zzTigerTamer,|,사람들은 나를 호랑이 조련사라고 부른다고!
zzTeachManners,|,매너를 좀 가르쳐주려고 여기 왔다
zzPJs,|,아니 지금 오후 3시인데*cr아직도 잠옷바람이라고?
zzTenBucks,|,당신이 나한테 빌린 10달러 받으러 왔다
zzBetterDoors,|,진심으로 얘기하는데 여기엔 더 튼튼한 문이 필요해
zzTorchOut,|,알려드리는데*comma 이 던전의 횃불들 중 하나가 꺼졌어
